PTS,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,POS
9.8,0.9,2.5,36.6,1.2,1.5,77.4,3.2,2.6,G
6.4,0.9,2.5,36,0.8,1,77.2,1.3,1.6,G
4.5,0.7,2,32.9,0.8,1,76.8,3,1,G
8.3,1.6,4.5,35.3,1.3,1.7,76.6,2.3,2.6,G
8,1.2,3.3,35.6,1,1.3,76.5,2.2,3.4,G
8.7,0.2,0.7,32.2,1.5,2,76.4,3,1.9,G
15.6,1.5,4.1,36.8,2.5,3.3,76.4,4.6,3,G
4.7,0.3,1.2,28.4,0.7,1,76.3,2.1,4.6,G
12.5,1.6,4.3,37.8,1.5,1.9,76.1,2.8,4.3,G
11.8,1.2,3.7,32,1.7,2.3,76,3.6,2.3,G
9,1.6,4.1,39.8,1,1.3,75.9,2.5,1,G
15.5,1,3,33.7,2.7,3.5,75.5,2.6,5.3,G
7.4,0.8,2.5,31.9,1.2,1.6,75.2,2.4,2.9,G
9.1,0.5,1.3,33.6,2.5,3.3,75,4.7,1.7,G
14.3,0.3,0.9,29.2,2.7,3.5,74.9,6.5,2,G
5,0.1,0.5,21.6,0.8,1.1,74.7,2.9,3.2,G
7.6,0.7,2.1,34.5,1.8,2.5,73.7,2.3,2,G
7.8,0.9,2.9,29.4,1.3,1.8,73.2,1.9,3.2,G
8.4,0.6,1.7,37.1,1.7,2.3,73.2,3.1,1.1,G
12.8,0.4,1.2,36.7,2,2.8,73.1,4.6,3.1,G
9.7,1.2,3.7,31.8,1.2,1.6,72.3,2,2.4,G
15.2,0.5,1.7,29.2,3,4.2,72.2,5.3,3.3,G
5.5,0.4,1.2,34.1,0.8,1.1,72.1,2.1,2.8,G
7.8,0.6,2.3,27.7,1.1,1.5,71.4,3.6,7.5,G
20.4,0.7,2.3,29.7,3.1,4.4,71,4.2,8.3,G
17.1,2,5.7,35,1.9,2.6,71,3.7,6.4,G
7.3,0.5,1.5,32.9,1.9,2.7,69.6,3,3.2,G
4.1,0.2,0.5,37.1,0.8,1.1,68.9,1.2,1.3,G
5.1,0.7,2.3,31.5,1,1.5,68.6,1.2,1,G
9.4,1,3.4,30.8,1.4,2.1,68.5,4.8,0.9,G
7.8,1.1,2.8,39.2,0.8,1.1,68.5,2.3,4.1,G
4.4,0.1,0.5,24.4,1,1.4,68.4,1.9,2.4,G
2.6,0.2,0.6,29.5,0.7,1,67.9,2.5,0.9,G
9.5,0.9,2.7,32.2,1.4,2.1,64,2.6,4.7,G
7.1,1.2,2.8,44.1,0.4,1.1,40.4,2.9,1.4,G
25.1,1.9,4.9,37.9,6,6.9,88.1,9.9,3,F
