"","PLAYER","PTS","X3PM","X3PA","X3P.","FTM","FTA","FT.","REB","AST","POS"
"422","names",11,1.5,3.5,43.3,1.2,1.5,81.4,2.9,1.7,"G"
"432","names",9.4,0.9,2.3,39.5,1.8,2.2,81,4.3,4.7,"G"
"442","names",7.9,0.3,0.9,33.3,1.8,2.2,80.8,1.8,1.2,"G"
"452","names",20.6,1,3,34.4,3,3.7,80.6,4.4,3.3,"G"
"462","names",10.7,1.1,3,35.5,1.3,1.6,80.6,2.3,4.2,"G"
"472","names",15.1,2.2,5.1,43.8,1.8,2.3,80.5,4.5,1.4,"G"
"482","names",6.5,0.9,2.3,38.8,1,1.2,80.5,2,2.9,"G"
"492","names",6.4,0.6,2,29.8,0.9,1.1,80.4,1.7,1,"G"
"502","names",10.3,0.6,1.8,34.6,2,2.5,80.4,3,2,"G"
"513","names",14.3,1.5,4,36.5,2.5,3.1,80.4,3.4,2.3,"G"
"522","names",22.3,1.1,3.7,30.1,4.6,5.8,80.3,3.2,8.1,"G"
"532","names",16.8,1,2.8,35,5.1,6.3,80.2,5,1.9,"G"
"542","names",6,0.2,0.7,27.3,0.9,1.1,80.2,2.9,1.3,"G"
"552","names",25.9,1.5,4.9,30.2,7.6,9.5,80.2,7.3,4.4,"G"
"562","names",13.4,1.2,3.7,31.6,2.7,3.4,80,1.7,2.8,"G"
"572","names",10.5,1,2.6,40.1,1.2,1.5,80,2.9,3.6,"G"
"582","names",21,1,3,35.4,5.9,7.3,80,6.2,6.2,"G"
"592","names",13.6,0.3,1.4,21.3,3.9,4.9,79.5,4,6.7,"G"
"602","names",10.3,1.6,3.9,40.3,1.7,2.1,79.5,4,5.1,"G"
"613","names",10.6,0.4,1.3,35.6,1.3,1.7,79.4,4.4,4.1,"G"
"622","names",16.4,1.8,4.9,37.2,2.3,2.9,79.4,3.9,4.5,"G"
"632","names",32.1,2.3,6,38.6,7.7,9.7,79.3,6.5,5.5,"G"
"642","names",17.6,0.8,2.1,41.3,3.4,4.2,79.2,6.6,1.7,"G"
"652","names",6.9,0.7,1.9,38.6,0.9,1.1,79.1,2.6,3.5,"G"
"662","names",18.3,1.3,3.8,34.8,4.5,5.7,79.1,4.7,6.3,"G"
"672","names",6.9,0.7,1.9,37.1,1.2,1.5,79,4,1.3,"G"
"682","names",14.1,1.4,4.2,33.7,2.4,3,78.9,4.4,2.3,"G"
"692","names",3.2,0.2,0.8,28.6,0.8,1,78.7,1.5,2,"G"
"702","names",13,1.2,3.4,35.6,1.6,2.1,78.5,3.9,2.6,"G"
"713","names",9.7,0.7,2.1,35.4,1.7,2.1,78.4,3.7,1.9,"G"
"722","names",13.2,0.6,1.9,32.9,2.4,3.1,78.2,3.1,5.3,"G"
"732","names",9.8,1.8,4.5,39.5,1,1.3,78.2,3.5,2.2,"G"
"742","names",16.7,1.8,4.3,42.4,2.5,3.2,78.1,2.4,3.4,"G"
"752","names",5.7,0.6,1.8,34.7,1,1.2,78,2.6,1.3,"G"
"762","names",27.6,1,3.7,27.7,7,9,77.4,4.2,5.5,"G"
"772","names",9.8,0.9,2.5,36.6,1.2,1.5,77.4,3.2,2.6,"G"
"782","names",6.4,0.9,2.5,36,0.8,1,77.2,1.3,1.6,"G"
"792","names",4.5,0.7,2,32.9,0.8,1,76.8,3,1,"G"
"802","names",8.3,1.6,4.5,35.3,1.3,1.7,76.6,2.3,2.6,"G"
"813","names",8,1.2,3.3,35.6,1,1.3,76.5,2.2,3.4,"G"
"822","names",8.7,0.2,0.7,32.2,1.5,2,76.4,3,1.9,"G"
"832","names",15.6,1.5,4.1,36.8,2.5,3.3,76.4,4.6,3,"G"
"842","names",4.7,0.3,1.2,28.4,0.7,1,76.3,2.1,4.6,"G"
"852","names",12.5,1.6,4.3,37.8,1.5,1.9,76.1,2.8,4.3,"G"
"862","names",11.8,1.2,3.7,32,1.7,2.3,76,3.6,2.3,"G"
"872","names",9,1.6,4.1,39.8,1,1.3,75.9,2.5,1,"G"
"882","names",15.5,1,3,33.7,2.7,3.5,75.5,2.6,5.3,"G"
"892","names",7.4,0.8,2.5,31.9,1.2,1.6,75.2,2.4,2.9,"G"
"902","names",9.1,0.5,1.3,33.6,2.5,3.3,75,4.7,1.7,"G"
"913","names",14.3,0.3,0.9,29.2,2.7,3.5,74.9,6.5,2,"G"
"922","names",5,0.1,0.5,21.6,0.8,1.1,74.7,2.9,3.2,"G"
"932","names",7.6,0.7,2.1,34.5,1.8,2.5,73.7,2.3,2,"G"
"942","names",7.8,0.9,2.9,29.4,1.3,1.8,73.2,1.9,3.2,"G"
"952","names",8.4,0.6,1.7,37.1,1.7,2.3,73.2,3.1,1.1,"G"
"962","names",12.8,0.4,1.2,36.7,2,2.8,73.1,4.6,3.1,"G"
"972","names",9.7,1.2,3.7,31.8,1.2,1.6,72.3,2,2.4,"G"
"982","names",15.2,0.5,1.7,29.2,3,4.2,72.2,5.3,3.3,"G"
"992","names",5.5,0.4,1.2,34.1,0.8,1.1,72.1,2.1,2.8,"G"
"1002","names",7.8,0.6,2.3,27.7,1.1,1.5,71.4,3.6,7.5,"G"
"1013","names",20.4,0.7,2.3,29.7,3.1,4.4,71,4.2,8.3,"G"
"1022","names",17.1,2,5.7,35,1.9,2.6,71,3.7,6.4,"G"
"1032","names",7.3,0.5,1.5,32.9,1.9,2.7,69.6,3,3.2,"G"
"1042","names",4.1,0.2,0.5,37.1,0.8,1.1,68.9,1.2,1.3,"G"
"1052","names",5.1,0.7,2.3,31.5,1,1.5,68.6,1.2,1,"G"
"1062","names",9.4,1,3.4,30.8,1.4,2.1,68.5,4.8,0.9,"G"
"1071","names",7.8,1.1,2.8,39.2,0.8,1.1,68.5,2.3,4.1,"G"
"1081","names",4.4,0.1,0.5,24.4,1,1.4,68.4,1.9,2.4,"G"
"1092","names",2.6,0.2,0.6,29.5,0.7,1,67.9,2.5,0.9,"G"
"1101","names",9.5,0.9,2.7,32.2,1.4,2.1,64,2.6,4.7,"G"
"1113","names",7.1,1.2,2.8,44.1,0.4,1.1,40.4,2.9,1.4,"G"
"112","names",25.1,1.9,4.9,37.9,6,6.9,88.1,9.9,3,"F"
"1141","names",20.8,1.3,3.8,34.2,3.9,4.4,87.6,6.6,3,"F"
"1152","names",19.2,2.2,5.6,38.2,3.2,3.7,87.5,5.5,2,"F"
"1191","names",21.2,1.7,4.5,38.7,3.1,3.6,85.1,9.5,2.4,"F"
"1201","names",21.6,1.5,3.7,38.9,3.8,4.5,84.8,6.1,5.6,"F"
"1213","names",19.9,0.3,0.7,35,5.6,6.7,84.1,8.4,3,"F"
"1251","names",10.7,2,5,39.6,1,1.2,83,3.8,1.5,"F"
"1282","names",15.4,0.4,1.4,31.8,4,4.8,82.4,5.1,2.7,"F"
"129","names",18.1,1,2.8,34.6,3.7,4.5,82,6.5,1.7,"F"
"1312","names",5.1,0.6,1.4,39.1,1.1,1.3,81.5,3.2,1.1,"F"
"1352","names",15.9,0.9,2.4,36.9,2.6,3.2,80.4,7.1,1.3,"F"
"1382","names",12,0.5,1.4,32.5,3.7,4.6,80,5.3,1.7,"F"
