"","PLAYER","PTS","X3PM","X3PA","X3P.","FTM","FTA","FT.","REB","AST","POS"
"113","Pat Garrity",8.3,1.3,2.9,43.3,1.1,1.3,86.7,2.8,0.7,"F"
"114","Austin Croshere",10.1,0.9,2.6,33.8,2.5,2.9,86.6,4.8,1.1,"F"
"115","Cedric Ceballos",6.5,0.6,1.8,30.1,0.9,1.1,86,2.7,0.5,"F"
"116","Chris Mullin",5.8,1,2.6,36.5,1.2,1.4,85.7,2.1,1,"F"
"117","Peja Stojakovic",20.4,1.9,4.8,40,3.6,4.2,85.6,5.8,2.2,"F"
"118","Johnny Newman",10.9,0.7,2.1,33.5,3.1,3.6,85.5,2.1,1.4,"F"
"120","George McCloud",9.6,1,3.1,32.9,2,2.4,84,2.9,3.7,"F"
"121","Dirk Nowitzki",21.8,1.8,4.8,38.7,5.5,6.6,83.8,9.2,2.1,"F"
"122","Charles Oakley",9.6,0.1,0.6,22.4,1.6,1.9,83.6,9.5,3.4,"F"
"123","Shareef Abdur-Rahim",20.5,0.1,0.8,18.8,5.5,6.6,83.4,9.1,3.1,"F"
"124","Rashard Lewis",14.8,1.6,3.7,43.2,2.3,2.7,82.6,6.9,1.6,"F"
"127","Glenn Robinson",22,0.7,2.4,29.9,3.3,4,82,6.9,3.3,"F"
"128","Chris Crawford",6.8,0.1,0.5,27.3,1.4,1.8,81.9,2.3,0.8,"F"
"131","Shawn Marion",17.3,0.3,1,25.6,3,3.7,81,10.7,2,"F"
"132","Keith Van Horn",17,1.3,3.5,38.2,3.1,3.8,80.6,7.1,1.7,"F"
"135","Larry Johnson",9.9,0.8,2.5,31.3,1.6,2,79.7,5.6,2,"F"
"137","Bryon Russell",12,1.2,2.9,41.3,2.8,3.7,77.9,4.2,2.1,"F"
"138","Rick Fox",9.6,1.4,3.7,39.3,1.2,1.5,77.9,4,3.2,"F"
"139","Hedo Turkoglu",5.3,0.4,1.2,32.6,1.2,1.5,77.7,2.8,0.9,"F"
"141","Corey Maggette",10,0.2,0.8,30.4,3.2,4.2,77.4,4.2,1.2,"F"
"142","Tim Thomas",12.6,1.4,3.4,41.2,2.6,3.3,77.1,4.1,1.8,"F"
"144","Jamal Mashburn",20.1,1.4,3.8,35.6,3.7,4.8,76.6,7.6,5.4,"F"
"145","Rasheed Wallace",19.2,0.7,2.1,32.1,3.2,4.2,76.6,7.8,2.8,"F"
"147","Kevin Garnett",22,0.2,0.8,28.8,4.4,5.8,76.4,11.4,5,"F"
"148","Rodney Rogers",12.2,0.7,2.3,29.6,2.3,3,76.1,4.4,2.2,"F"
"149","Donyell Marshall",13.6,0.5,1.6,32,2.5,3.4,75.1,7,1.6,"F"
"150","Metta World Peace",11.9,0.6,1.9,29.1,2.8,3.7,75,3.9,3,"F"
"152","Scottie Pippen",11.3,1,2.9,34.4,1.9,2.5,73.9,5.2,4.6,"F"
"154","DerMarr Johnson",5.1,0.5,1.6,32.3,0.8,1.1,73.6,2.3,0.8,"F"
"155","Lamond Murray",12.8,0.8,2.1,37,2,2.7,73.5,4.4,1.6,"F"
"159","Marcus Fizer",9.5,0.1,0.5,25.6,1.6,2.2,72.7,4.3,1.1,"F"
"160","Kenny Thomas",7.1,0.3,1.2,27.2,1.2,1.7,72.2,5.6,1,"F"
"161","George Lynch",8.4,0.2,0.7,26.3,1.5,2.1,71.9,7.2,1.7,"F"
"164","Antoine Walker",23.4,2.7,7.4,36.7,3.1,4.3,71.6,8.9,5.5,"F"
"165","Antawn Jamison",24.9,0.8,2.5,30.2,4.7,6.5,71.5,8.7,2,"F"
"166","Eric Williams",6.6,0.6,1.7,33.1,2,2.9,71.4,2.6,1.4,"F"
"167","Sean Elliott",7.9,1.1,2.5,42.6,1.2,1.6,71.4,3.3,1.6,"F"
"169","Robert Horry",5.2,0.7,2,34.6,0.7,1.1,71.1,3.7,1.6,"F"
"170","Clifford Robinson",16.4,1.1,3,36.1,3.1,4.4,70.9,4.1,2.9,"F"
"172","Raef LaFrentz",12.9,0.7,1.8,36.7,2.3,3.4,69.8,7.8,1.4,"F"
"173","Derrick Coleman",8.1,0.6,1.5,39.2,1.9,2.7,68.5,5.4,1.1,"F"
"174","Chris Gatling",11.4,0.4,1.2,30.4,2.1,3.1,68.4,5.3,0.8,"F"
"176","Lamar Odom",17.2,1.1,3.3,31.6,3.4,5.1,67.9,7.8,5.2,"F"
"178","Toni Kukoc",11.1,1.1,2.4,44.6,1.6,2.5,63.1,4,3.1,"F"
"180","Marc Jackson",13.2,0.1,0.5,21.7,3.2,4,80.2,7.5,1.2,"C"
"126","Terrell Brandon",12.4,0.1,0.7,17.4,2.6,2.6,98.8,2.9,8.3,"G"
"210","Jon Barry",9,1.5,3.1,46.9,1.3,1.4,93.1,2.9,3.3,"G"
"310","Trajan Langdon",4.8,0.6,1.7,36.5,1,1,91.3,1.3,1.4,"G"
"410","Reggie Miller",16.5,2.3,5.6,40.6,3.7,4.1,91.1,2.8,3.2,"G"
"510","Travis Best",7.9,0.3,0.8,35.6,1.4,1.6,89.7,2,4.4,"G"
"610","Eric Piatkowski",8.8,1.6,3.4,46.6,1.4,1.6,89.4,2.6,1.6,"G"
"710","Richard Hamilton",20,0.3,0.7,38.1,4.8,5.3,89,3.4,2.7,"G"
"810","Darrell Armstrong",12.4,1.7,4.9,34.9,2.2,2.5,88.8,3.9,5.5,"G"
"910","Damon Stoudamire",13.5,1.4,3.9,35.3,2.3,2.6,88.8,3.9,6.5,"G"
"1010","Steve Nash",17.9,1.9,4.2,45.5,3.2,3.6,88.7,3.1,7.7,"G"
"1110","Chauncey Billups",12.5,1.5,3.8,39.4,2.5,2.9,88.5,2.8,5.5,"G"
"1210","Chris Whitney",10.2,1.6,3.9,40.6,1.9,2.1,88,1.9,3.8,"G"
"133","Steven Smith",11.6,1.5,3.2,47.2,2.1,2.4,87.8,2.5,2,"G"
"143","Troy Hudson",11.7,0.8,2.3,35.3,2.2,2.5,87.6,1.8,3.1,"G"
"157","Ray Allen",21.8,3.3,7.7,43.4,3.1,3.6,87.3,4.5,3.9,"G"
"1610","Allan Houston",20.4,1.8,4.5,39.3,3.8,4.4,87,3.3,2.5,"G"
"179","John Crotty",6.9,0.8,1.7,44.9,1.4,1.6,86.4,1.8,3.4,"G"
"189","Jim Jackson",10.7,0.7,1.5,46.9,1.4,1.6,86.2,5.3,2.5,"G"
"192","Sam Cassell",19.7,1,2.8,34.8,3.8,4.4,86,4.2,6.7,"G"
"201","Jerry Stackhouse",21.4,1.1,3.9,28.7,6.5,7.6,85.8,4.1,5.3,"G"
"211","Rusty LaRue",5.8,0.5,1.5,34,0.9,1.1,85.7,1.5,2.2,"G"
"221","John Stockton",13.4,0.3,1,32.1,3.4,3.9,85.7,3.2,8.2,"G"
"231","Derek Anderson",10.8,1.2,3.3,37.3,2.5,3,85.6,2.7,3.1,"G"
"241","Doug Christie",12,1.1,3.2,35.2,2.5,3,85.1,4.6,4.2,"G"
"251","Cuttino Mobley",21.7,2,5.1,39.5,3.6,4.2,85,4.1,2.5,"G"
"261","Desmond Mason",12.4,0.2,0.8,27.1,2.7,3.2,84.8,4.7,1.4,"G"
"271","Derek Fisher",11.2,2.1,5,41.3,1.3,1.6,84.7,2.1,2.6,"G"
"281","Brent Barry",14.4,2,4.8,42.4,2.4,2.9,84.6,5.4,5.3,"G"
"291","Bryant Stith",4.2,0.5,1.4,35.3,0.9,1,84.6,1.7,0.8,"G"
"301","Erick Strickland",7.7,1.2,3.1,38.5,1.7,2,84.5,2.7,2.3,"G"
"311","Lucious Harris",9.1,0.6,1.6,37.3,1.8,2.1,84.2,2.8,1.6,"G"
"321","Fred Hoiberg",4.4,0.3,1.2,26.1,1,1.2,84,2.7,1.7,"G"
"331","Jalen Rose",20.4,1.1,3,36.2,3.4,4,83.9,4.5,4.3,"G"
"341","Speedy Claxton",7.2,0.1,0.5,12.1,1.7,2,83.8,2.4,3,"G"
"351","Michael Finley",20.6,1.1,3.2,33.9,3,3.6,83.7,5.2,3.3,"G"
"361","Eddie Jones",18.3,1.8,4.7,39,3.7,4.4,83.7,4.7,3.2,"G"
"371","Jeff McInnis",14.6,0.9,2.9,32.1,2.3,2.7,83.6,2.6,6.2,"G"
"381","Jason Terry",19.3,2.2,5.7,38.7,3.6,4.4,83.5,3.5,5.7,"G"
"391","Wally Szczerbiak",18.7,1.1,2.3,45.5,2.8,3.3,83.1,4.8,3.1,"G"
"401","Kobe Bryant",25.2,0.4,1.7,25,6.1,7.4,82.9,5.5,5.5,"G"
"411","Jacque Vaughn",6.6,0.3,0.7,44.4,1.3,1.5,82.5,2,4.3,"G"
"421","Bryon Russell",9.6,1.2,3.4,34.1,1.7,2.1,82.1,4.5,2.1,"G"
"431","Latrell Sprewell",19.4,1.8,5,36,3.5,4.3,82.1,3.7,3.9,"G"
"441","Terry Porter",5.5,0.8,2,41.5,0.9,1.2,81.9,2.3,2.8,"G"
"451","Chris Childs",4.1,0.5,1.7,27.5,0.8,1,81.7,2.2,5.1,"G"
"461","Andre Miller",16.5,0.3,1.1,25.3,4.5,5.5,81.7,4.7,10.9,"G"
"471","Jason Kidd",14.7,1.4,4.4,32.1,2.5,3,81.4,7.3,9.9,"G"
"481","Allen Iverson",31.4,1.3,4.5,29.1,7.9,9.8,81.2,4.5,5.5,"G"
"491","Anfernee Hardaway",12,0.3,1,27.7,2,2.4,81,4.4,4.1,"G"
"501","Bobby Jackson",11.1,1,2.7,36.1,1.8,2.3,81,3.1,2,"G"
"511","DerMarr Johnson",8.4,1.2,3.4,36,1.2,1.5,81,3.4,1.1,"G"
"521","Paul Pierce",26.1,2.6,6.3,40.4,6.3,7.8,80.9,6.9,3.2,"G"
"531","Tony Delk",9.5,1.1,3.4,31.3,1.2,1.5,80.4,3.2,2.1,"G"
"541","Mike Bibby",13.7,0.6,1.7,37,1.9,2.4,80.3,2.8,5,"G"
"551","Corey Maggette",11.4,0.7,2.2,33.1,3.2,4,80.1,3.7,1.8,"G"
"561","Nick Van Exel",18.4,1.7,4.9,34,2.8,3.5,80.1,3.5,6.6,"G"
"571","Glen Rice",8.6,0.9,3.2,28.1,1.2,1.5,80,2.4,1.6,"G"
"581","Wesley Person",15.1,1.8,4.1,44.4,1.3,1.6,79.8,3.8,2.2,"G"
"591","Vince Carter",24.7,2,5.2,38.7,4.1,5.1,79.8,5.2,4,"G"
"601","Gary Payton",22.1,0.9,2.9,31.4,3.3,4.1,79.7,4.8,9,"G"
"611","Howard Eisley",4.4,0.4,1.5,24.1,1,1.3,79.6,1.3,2.6,"G"
"621","Eddie Gill",5,0.3,1,31.8,1.3,1.7,79.5,1.2,2.1,"G"
"631","Tim Hardaway",9.6,1.8,5.2,34.7,1.1,1.4,79.4,1.8,4.1,"G"
"641","James Posey",10.7,0.9,3.2,28.3,2.2,2.8,79.3,5.9,2.5,"G"
"651","Jason Williams",14.8,2,6.6,29.5,1.2,1.6,79.2,3,8,"G"
"661","Michael Redd",11.4,1.3,3,44.4,1.4,1.7,79.1,3.3,1.4,"G"
"671","Mark Jackson",8.4,1,2.4,40.5,1.1,1.3,79.1,3.8,7.4,"G"
"681","Michael Jordan",22.9,0.2,0.9,18.9,4.4,5.6,79,5.7,5.2,"G"
"691","Aaron McKie",12.2,1.1,2.7,39.8,2,2.5,78.7,4,3.7,"G"
"701","Walt Williams",9.4,1.6,3.8,42.6,0.8,1.1,78.4,3.4,1.4,"G"
"711","Voshon Lenard",11.5,1.3,3.4,37.1,1.3,1.7,78.3,2.6,1.8,"G"
"721","Kenny Satterfield",5.3,0.2,0.8,25.9,1,1.3,78.3,1.4,3,"G"
"731","Stephon Marbury",20.4,0.9,3,28.6,4.3,5.5,78.1,3.2,8.1,"G"
"741","Oscar Torres",6,0.6,1.9,29.4,1.3,1.6,78.1,1.9,0.6,"G"
"751","Gilbert Arenas",10.9,0.8,2.4,34.5,2.6,3.4,77.5,2.8,3.7,"G"
"761","Scottie Pippen",10.6,0.9,2.9,30.5,1.8,2.4,77.4,5.2,5.9,"G"
"771","Steve Francis",21.6,1.2,3.7,32.4,5.7,7.4,77.3,7,6.4,"G"
"781","Quentin Richardson",13.3,1.6,4.3,38.1,1.8,2.3,76.5,4.1,1.6,"G"
"791","Trenton Hassell",8.7,0.8,2.1,36.4,1.1,1.5,76.3,3.3,2.2,"G"
"801","Mike Miller",15.2,1.8,4.8,38.3,2.2,2.9,76.2,4.3,3.1,"G"
"811","Dion Glover",8.9,0.5,1.7,33,1.4,1.9,75.7,3.1,1.5,"G"
"821","Antonio Daniels",9.2,0.7,2.4,29.1,1.9,2.6,75.2,2.1,2.8,"G"
"831","Moochie Norris",8.1,0.4,1.6,26.9,1.5,2.1,75.1,3,4.9,"G"
"841","Morris Peterson",14,1.3,3.7,36.4,2,2.7,75.1,3.5,2.4,"G"
"851","Tracy McGrady",25.6,1.4,3.7,36.4,5.5,7.3,74.8,7.8,5.3,"G"
"861","Kerry Kittles",13.4,1.2,3,40.5,1.6,2.1,74.4,3.4,2.6,"G"
"871","Matt Harpring",11.8,0.3,0.9,30.4,2,2.7,74.3,7.1,1.3,"G"
"881","Bonzi Wells",17,0.9,2.3,38.4,2.9,3.9,74.1,6,2.8,"G"
"891","Larry Hughes",12.3,0.2,1.3,19.4,2.6,3.5,73.7,3.4,4.3,"G"
"901","Alvin Williams",11.8,0.8,2.4,32.1,1.3,1.7,73.6,3.4,5.7,"G"
"911","David Wesley",14.2,1.3,3.8,33.2,2.1,2.8,73.4,2.1,3.5,"G"
"921","Bobby Simmons",3.7,0.1,0.5,28.6,0.7,1,73.3,1.7,0.6,"G"
"931","Eric Williams",6.4,0.3,1.2,27.9,2.2,3,73.1,3,1.5,"G"
"941","Milt Palacio",3.3,0.2,0.6,31.7,0.8,1.1,73,1.1,1.2,"G"
"951","Rodney Buford",9.4,0.3,1.1,24.3,0.9,1.3,72.5,4.3,1.1,"G"
"961","Bob Sura",10,0.5,1.7,31.6,3,4.2,72,3.3,3.5,"G"
"971","Jamaal Tinsley",9.4,0.5,2.2,24,1.6,2.3,70.4,3.7,8.1,"G"
"981","Ruben Patterson",11.2,0.1,0.5,25,2.6,3.7,70.1,4,1.4,"G"
"991","Shane Battier",14.4,1.3,3.5,37.3,2.5,3.6,70,5.4,2.8,"G"
"1001","Chucky Atkins",12.1,1.7,4.3,41.1,1.1,1.5,69.2,2,3.3,"G"
"1011","Shandon Anderson",5,0.5,1.7,27.7,0.9,1.3,69.2,3,0.9,"G"
"1021","Tyrone Nesby",6.3,0.2,0.7,27.7,0.9,1.3,68.8,4.5,1.3,"G"
"1031","Kendall Gill",5.7,0.1,0.7,13.6,0.6,1,67.7,2.8,1.5,"G"
"1041","Tony Parker",9.2,0.8,2.5,32.3,1.4,2.1,67.5,2.6,4.3,"G"
"1051","Devean George",7.1,0.8,2.2,37.1,1,1.5,67.5,3.7,1.4,"G"
"1061","Jason Richardson",14.4,1,3.1,33.3,1.8,2.6,67.1,4.3,3,"G"
"107","Will Solomon",5.2,0.7,2.6,28.4,0.8,1.2,67.1,1.1,1.5,"G"
"108","Greg Anthony",7.9,0.8,2.7,29.4,1,1.5,65.9,2.2,4.7,"G"
"1091","Charles Smith",7.4,0.6,2.2,26.7,0.7,1.1,64.6,2.2,1.3,"G"
"110","Baron Davis",18.1,2.1,5.8,35.6,2.4,4.1,58,4.3,8.5,"G"
"1111","Bruce Bowen",7,0.9,2.5,37.8,0.8,1.6,47.9,2.7,1.5,"G"
"1151","Peja Stojakovic",21.2,1.8,4.4,41.6,4,4.5,87.6,5.3,2.5,"F"
"1161","Jamal Mashburn",21.5,1,2.8,36.6,5.3,6,87.6,6.1,4.3,"F"
"119","Dirk Nowitzki",23.4,1.8,4.6,39.7,5.8,6.8,85.3,9.9,2.4,"F"
"1211","Austin Croshere",6.8,0.6,1.9,33.8,1.3,1.5,85.1,3.9,1,"F"
"1231","Shawn Marion",19.1,0.6,1.5,39.3,2.4,2.8,84.5,9.9,2,"F"
"125","Glenn Robinson",20.7,0.9,2.7,32.6,3.6,4.3,83.7,6.2,2.5,"F"
"1281","Rick Fox",7.9,0.8,2.5,31.3,0.9,1,82.4,4.7,3.5,"F"
"1311","Lamond Murray",16.6,1.4,3.4,42.4,3,3.7,81.7,5.2,2.2,"F"
"1321","Derrick Coleman",15.1,0.5,1.4,33.7,3.2,3.9,81.5,8.8,1.7,"F"
"134","Rashard Lewis",16.8,1.7,4.5,38.9,2.3,2.8,81,7,1.7,"F"
"1351","George McCloud",8.8,0.9,3.2,27,1.9,2.4,81,3.6,3,"F"
"1381","Kevin Garnett",21.2,0.5,1.4,31.9,4.4,5.5,80.1,12.1,5.2,"F"
"1391","Shareef Abdur-Rahim",21.2,0.3,0.9,30,5.4,6.8,80.1,9,3.1,"F"
