PLAYER,PTS,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,POS
Josh Hart,7.8,1.4,4.1,33.6,0.8,1.2,68.8,3.7,1.4,G
Lance Stephenson,7.2,1.1,2.9,37.1,0.7,1.1,68.5,3.2,2.1,G
Frank Mason,5.1,0.4,1.7,21.9,1,1.5,68.4,1.1,2.2,G
David Nwaba,6.5,0.5,1.5,32,1.1,1.7,68.2,3.2,1.1,G
Shaquille Harrison,6.5,0.3,1.2,27,1.1,1.7,66.7,3,1.9,G
Jaylen Brown,13,1.3,3.7,34.4,1.8,2.7,65.8,4.2,1.4,G
Antonio Blakeney,7.3,0.6,1.6,39.6,0.9,1.3,65.8,1.9,0.7,G
Russell Westbrook,22.9,1.6,5.6,29,4.1,6.2,65.6,11.1,10.7,G
Dennis Smith Jr.,13.6,1.3,3.9,32.2,1.9,2.9,63.5,2.9,4.8,G
Justise Winslow,12.6,1.5,3.9,37.5,1.3,2.1,62.8,5.4,4.3,G
Tyler Dorsey,6.2,0.9,2.8,33.3,0.8,1.3,62.3,2.4,1.2,G
Hamidou Diallo,3.7,0.1,0.5,16.7,0.7,1.2,61,1.9,0.3,G
Derrick Jones Jr.,7,0.5,1.5,30.8,1.2,2,60.7,4,0.6,G
Michael Carter-Williams,4.8,0.4,1.4,26.3,1.1,1.9,60.4,2.5,2.5,G
Andre Iguodala,5.7,0.7,2.1,33.3,0.6,1,58.2,3.7,3.2,G
Austin Rivers,8.1,1.4,4.3,31.8,0.7,1.3,52.6,2.1,2.2,G
Dion Waiters,12,2.5,6.6,37.7,0.5,1,50,2.6,2.8,G
Lonzo Ball,9.9,1.6,4.9,32.9,0.4,1,41.7,5.3,5.4,G
Danilo Gallinari,19.8,2.4,5.5,43.3,5.4,6,90.4,6.1,2.6,F
Kevin Love,17,2.4,6.7,36.1,4.7,5.2,90.4,10.9,2.2,F
Marco Belinelli,10.5,1.9,5,37.2,1.4,1.6,90.3,2.5,1.7,F
Justin Holiday,10.5,2,5.7,34.8,1.2,1.3,89.6,3.9,1.8,F
Jeff Green,12.3,1.4,4.2,34.7,2.4,2.7,88.8,4,1.8,F
Kevin Durant,26,1.8,5,35.3,5.7,6.5,88.5,6.4,5.9,F
Chandler Parsons,7.5,1.2,3.8,30.9,0.9,1,88,2.8,1.7,F
Dario Saric,10.6,1.5,4,36.5,1.6,1.9,88,5.6,1.6,F
Terrence Ross,15.1,2.7,7,38.3,1.6,1.8,87.5,3.5,1.7,F
Lauri Markkanen,18.7,2.3,6.4,36.1,3.3,3.8,87.2,9,1.4,F
Al-Farouq Aminu,9.4,1.2,3.5,34.3,1.9,2.1,86.7,7.5,1.3,F
Tobias Harris,20,1.9,4.8,39.7,3.2,3.7,86.6,7.9,2.8,F
Nicolas Batum,9.3,1.5,4,38.9,1,1.2,86.5,5.2,3.3,F
Josh Richardson,16.6,2.2,6.3,35.7,2.7,3.2,86.1,3.6,4.1,F
Reggie Bullock,11.3,2.3,6.2,37.7,1.2,1.3,85.9,2.7,2,F
Jayson Tatum,15.7,1.5,3.9,37.3,2.5,2.9,85.5,6,2.1,F
Aron Baynes,5.6,0.4,1.2,34.4,1,1.2,85.5,4.7,1.1,F
Jimmy Butler,18.7,1,3,34.7,4.8,5.6,85.5,5.3,4,F
Kawhi Leonard,26.6,1.9,5,37.1,6.1,7.1,85.4,7.3,3.3,F
LaMarcus Aldridge,21.3,0.1,0.5,23.8,4.3,5.1,84.7,9.2,2.4,F
Nikola Mirotic,15.2,2.5,6.9,36.5,2.3,2.7,84.7,7.4,1.2,F
Marcus Morris Sr.,13.9,1.9,5.2,37.5,1.9,2.3,84.4,6.1,1.5,F
Bruno Caboclo,8.3,1.4,3.8,36.9,1.2,1.5,84,4.6,1.5,F
Paul George,28,3.8,9.8,38.6,5.9,7,83.9,8.2,4.1,F
Khris Middleton,18.3,2.3,6.2,37.8,2.8,3.4,83.7,6,4.3,F
Doug McDermott,7.3,1.1,2.7,40.8,0.9,1,83.5,1.4,0.9,F
Gordon Hayward,11.5,1.1,3.2,33.3,2.2,2.6,83.4,4.5,3.4,F
CJ Miles,6.4,1.3,3.8,33,0.9,1.1,82.8,1.8,0.7,F
Joe Harris,13.7,2.4,5.1,47.4,1.4,1.8,82.7,3.8,2.4,F
Norman Powell,8.6,1.1,2.8,40,1,1.3,82.7,2.3,1.5,F
Luke Kornet,7,1.5,4.2,36.3,0.8,1,82.6,2.9,1.2,F
Ersan Ilyasova,6.8,0.9,2.4,36.3,0.9,1.1,82.4,4.5,0.8,F
