"","PLAYER","PTS","X3PM","X3PA","X3P.","FTM","FTA","FT.","REB","AST","POS"
"1","Chasson Randle",5.3,0.6,1.8,34,1.6,1.7,95.3,1.2,1.3,"G"
"2","CJ McCollum",23,2.3,5.5,42.1,3.4,3.7,91.2,3.6,3.6,"G"
"3","Isaiah Thomas",28.9,3.2,8.5,37.9,7.8,8.5,90.9,2.7,5.9,"G"
"4","Kyrie Irving",25.2,2.5,6.1,40.1,4.1,4.6,90.5,3.2,5.8,"G"
"5","CJ Miles",10.7,2.2,5.4,41.3,1.1,1.2,90.3,3,0.6,"G"
"6","Stephen Curry",25.3,4.1,10,41.1,4.1,4.6,89.8,4.5,6.6,"G"
"7","Damian Lillard",27,2.9,7.7,37,6.5,7.3,89.5,4.9,5.9,"G"
"8","Bojan Bogdanovic",13.7,1.8,4.8,36.7,2.7,3,89.3,3.4,1.4,"G"
"9","Marco Belinelli",10.5,1.4,3.8,36,2,2.3,89.3,2.4,2,"G"
"10","Arron Afflalo",8.4,1,2.5,41.1,1.4,1.5,89.2,2,1.3,"G"
"11","Chris Paul",18.1,2,5,41.1,3.8,4.3,89.2,5,9.2,"G"
"12","Ricky Rubio",11.1,0.8,2.6,30.6,3.4,3.8,89.1,4.1,9.1,"G"
"13","JJ Redick",15,2.6,6,42.9,2.3,2.6,89.1,2.2,1.4,"G"
"14","Jerian Grant",5.9,0.8,2.1,36.6,1,1.2,89,1.8,1.9,"G"
"15","Jamal Murray",9.9,1.4,4.2,33.4,1.3,1.5,88.3,2.6,2.1,"G"
"16","Khris Middleton",14.7,1.6,3.6,43.3,2.8,3.2,88,4.2,3.4,"G"
"17","Lou Williams",17.5,2,5.5,36.5,5,5.6,88,2.5,3,"G"
"18","Jodie Meeks",9.1,1.6,3.8,40.9,1.8,2.1,87.8,2.1,1.3,"G"
"19","Derrick Rose",18,0.2,0.9,21.7,3.5,4,87.4,3.8,4.4,"G"
"20","Reggie Jackson",14.5,1.3,3.5,35.9,2.3,2.6,86.8,2.2,5.2,"G"
"21","Jeff Teague",15.3,1.1,3.1,35.7,4.4,5.1,86.7,4,7.8,"G"
"22","Courtney Lee",10.8,1.4,3.5,40.1,1.1,1.3,86.7,3.4,2.3,"G"
"23","Malcolm Brogdon",10.2,1,2.6,40.4,1.5,1.7,86.5,2.8,4.2,"G"
"24","C.J. Watson",4.5,0.5,1.7,30.5,0.9,1.1,86.4,1.4,1.8,"G"
"25","J.J. Barea",10.9,1.5,4.2,35.8,1.3,1.5,86.3,2.4,5.5,"G"
"26","Darren Collison",13.2,1.1,2.6,41.7,2.2,2.5,86,2.2,4.6,"G"
"27","Mike Conley",20.5,2.5,6.1,40.8,4.6,5.3,85.9,3.5,6.3,"G"
"28","Brandon Knight",11,0.8,2.6,32.4,2.4,2.9,85.7,2.2,2.4,"G"
"29","Jamal Crawford",12.3,1.4,3.9,36,2.1,2.5,85.7,1.6,2.6,"G"
"30","Nicolas Batum",15.1,1.8,5.3,33.3,3.2,3.7,85.6,6.2,5.9,"G"
"31","Nick Young",13.2,2.8,7,40.4,1.3,1.5,85.6,2.3,1,"G"
"32","Dennis Schroder",17.9,1.3,3.7,34,2.8,3.2,85.5,3.1,6.3,"G"
"33","Matthew Dellavedova",7.6,1,2.8,36.7,1.1,1.3,85.4,1.9,4.7,"G"
"34","Timothe Luwawu-Cabarrot",6.4,0.7,2.3,31.1,1.5,1.8,85.4,2.2,1.1,"G"
"35","Klay Thompson",22.3,3.4,8.3,41.4,2.4,2.8,85.3,3.7,2.1,"G"
"36","Jeremy Lamb",9.7,0.7,2.4,28.1,1.8,2.1,85.3,4.3,1.2,"G"
"37","Seth Curry",12.8,2,4.6,42.5,1.2,1.4,85,2.6,2.7,"G"
