PLAYER,PTS,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,POS
Ty Lawson,9.9,0.5,1.7,28.8,2.5,3.1,79.7,2.6,4.8,G
Dante Exum,6.2,0.7,2.3,29.5,0.9,1.1,79.5,2,1.7,G
Dwyane Wade,18.3,0.8,2.4,31,3.7,4.7,79.4,4.5,3.8,G
Norman Powell,8.4,0.7,2.3,32.4,1.7,2.1,79.2,2.2,1.1,G
Spencer Dinwiddie,7.3,0.6,1.7,37.6,2.1,2.7,79.2,2.8,3.1,G
Justin Anderson,7.1,0.8,2.6,29.9,1.4,1.7,79.1,3.3,0.9,G
Goran Dragic,20.3,1.6,4,40.5,4.1,5.2,79,3.8,5.8,G
Iman Shumpert,7.5,1.2,3.4,36,0.9,1.2,78.9,2.9,1.4,G
Emmanuel Mudiay,11,1,3.2,31.5,2.4,3,78.4,3.2,3.9,G
Garrett Temple,7.8,1.3,3.4,37.3,0.9,1.1,78.4,2.8,2.6,G
Rodney Hood,12.7,1.9,5.2,37.1,1.5,1.9,78.3,3.4,1.6,G
D'Angelo Russell,15.6,2.1,6.1,35.2,2.3,3,78.2,3.5,4.8,G
Josh Richardson,10.2,1.4,4.3,33,1.1,1.5,77.9,3.2,2.6,G
Gary Harris,14.9,1.9,4.5,42,1.8,2.4,77.6,3.1,2.9,G
Tyler Ulis,7.3,0.3,1.3,26.6,0.9,1.2,77.5,1.6,3.7,G
Ramon Sessions,6.2,0.4,1.2,33.9,1.8,2.4,77.1,1.5,2.6,G
Cory Joseph,9.3,0.6,1.7,35.6,1.2,1.5,77,2.9,3.3,G
E'Twaun Moore,9.6,1.1,2.8,37,0.8,1,77,2.1,2.2,G
Giannis Antetokounmpo,22.9,0.6,2.3,27.2,5.9,7.7,77,8.8,5.4,G
Alec Burks,6.7,0.6,1.8,32.9,1.4,1.9,76.9,2.9,0.7,G
Patrick Beverley,9.5,1.6,4.3,38.2,1.1,1.4,76.8,5.9,4.2,G
Tyler Johnson,13.7,1.3,3.4,37.2,2.7,3.5,76.8,4,3.2,G
Tim Hardaway Jr.,14.5,1.9,5.3,35.7,2.1,2.7,76.6,2.8,2.3,G
Vince Carter,8,1.5,4.1,37.8,1.2,1.6,76.5,3.1,1.8,G
Delon Wright,5.6,0.4,1.1,33.3,1.6,2,76.4,1.8,2.1,G
Andrew Harrison,5.9,0.6,2.2,27.6,2.1,2.7,76.3,1.9,2.8,G
Tim Frazier,7.1,0.6,2,31.3,1.5,2,76,2.7,5.2,G
Michael Carter-Williams,6.6,0.3,1.4,23.4,1.3,1.7,75.3,3.4,2.5,G
Victor Oladipo,15.9,1.9,5.3,36.1,1.7,2.3,75.3,4.3,2.6,G
Ben McLemore,8.1,1.1,2.8,38.2,1.1,1.5,75.3,2.1,0.8,G
Will Barton,13.7,1.5,3.9,37,2.4,3.2,75.3,4.3,3.4,G
Brandon Jennings,7.1,1,3.1,31.3,1.4,1.9,75,2.4,4.9,G
Jonathon Simmons,6.2,0.4,1.3,29.4,1.3,1.7,75,2.1,1.6,G
Tyreke Evans,10.3,1.1,3,35.6,1.7,2.3,75,3.4,3.1,G
Rodney Stuckey,7.2,0.5,1.5,31.7,2.1,2.7,74.8,2.2,2.2,G
Avery Bradley,16.3,2,5,39,1.2,1.7,73.1,6.1,2.2,G
Monta Ellis,8.5,0.6,1.8,31.9,1.3,1.7,72.7,2.8,3.2,G
Tony Parker,10.1,0.4,1.1,33.3,1.3,1.9,72.6,1.8,4.5,G
Caris LeVert,8.2,1,3.2,32.1,1.2,1.6,72,3.3,1.9,G
Glenn Robinson III,6.1,0.7,1.8,39.2,0.8,1.1,71.1,3.6,0.7,G
Jrue Holiday,15.4,1.5,4.2,35.6,1.8,2.5,70.8,3.9,7.3,G
Kent Bazemore,11,1.3,3.6,34.6,1.6,2.3,70.8,3.2,2.4,G
Andre Iguodala,7.6,0.8,2.3,36.2,0.9,1.3,70.6,4,3.4,G
Ish Smith,9.4,0.3,1.3,26.7,0.9,1.3,70.6,2.9,5.2,G
Elfrid Payton,12.8,0.5,1.8,27.4,1.8,2.6,69.2,4.7,6.5,G
Austin Rivers,12,1.5,4,37.1,1.8,2.6,69.1,2.2,2.8,G
Shelvin Mack,7.8,0.7,2.2,30.8,1,1.4,68.8,2.3,2.8,G
Dion Waiters,15.8,1.8,4.7,39.5,1.8,2.8,64.6,3.3,4.3,G
Tony Allen,9.1,0.2,0.8,27.8,1.1,1.8,61.5,5.5,1.4,G
CJ Miles,10.7,2.2,5.4,41.3,1.1,1.2,90.3,3,0.6,F
Danilo Gallinari,18.2,2,5.1,38.9,5.5,6.1,90.2,5.2,2.1,F
Paul George,23.7,2.6,6.6,39.3,4.5,5,89.8,6.6,3.3,F
Marco Belinelli,10.5,1.4,3.8,36,2,2.3,89.3,2.4,2,F
Khris Middleton,14.7,1.6,3.6,43.3,2.8,3.2,88,4.2,3.4,F
Kawhi Leonard,25.5,2,5.2,38,6.3,7.2,88,5.8,3.5,F
Marreese Speights,8.7,1.3,3.4,37.2,1.5,1.7,87.6,4.5,0.8,F
Dirk Nowitzki,14.2,1.5,3.9,37.8,1.8,2.1,87.5,6.5,1.5,F
Kevin Durant,25.1,1.9,5,37.5,5.4,6.2,87.5,8.3,4.8,F
Marvin Williams,11.2,1.6,4.7,35,1.7,2,87.3,6.6,1.4,F
Kevin Love,19,2.4,6.5,37.3,4.3,4.9,87.1,11.1,1.9,F
Jon Leuer,10.2,0.7,2.2,29.3,1.3,1.5,86.7,5.4,1.5,F
Jimmy Butler,23.9,1.2,3.3,36.7,7.7,8.9,86.5,6.2,5.5,F
Jeff Green,9.2,0.8,2.8,27.5,2.1,2.4,86.3,3.1,1.2,F
Harrison Barnes,19.2,1,2.8,35.1,3.1,3.6,86.1,5,1.5,F
Ryan Anderson,13.6,2.8,7,40.3,1.8,2.1,86,4.6,0.9,F
Serge Ibaka,14.8,1.6,4,39.1,1.4,1.6,85.6,6.8,0.9,F
Nick Young,13.2,2.8,7,40.4,1.3,1.5,85.6,2.3,1,F
Rudy Gay,18.7,1.4,3.8,37.2,3.9,4.6,85.5,6.3,2.8,F
Timothe Luwawu-Cabarrot,6.4,0.7,2.3,31.1,1.5,1.8,85.4,2.2,1.1,F
Channing Frye,9.1,1.9,4.5,40.9,0.9,1,85.1,3.9,0.6,F
Spencer Hawes,6.2,0.5,1.5,30.9,0.8,1,84.6,3.5,1.5,F
Doug McDermott,9,1.2,3.2,37,1.1,1.3,84.5,2.7,0.9,F
Gordon Hayward,21.9,2,5.1,39.8,5,5.9,84.4,5.4,3.5,F
Lance Thomas,6,0.8,1.8,44.7,0.9,1.1,84.3,3.1,0.8,F
Tobias Harris,16.1,1.3,3.8,34.7,2.3,2.8,84.1,5.1,1.7,F
Markieff Morris,14,0.9,2.6,36.2,2.4,2.8,83.7,6.5,1.7,F
Carmelo Anthony,22.4,2,5.7,35.9,4.1,4.9,83.3,5.9,2.9,F
Otto Porter Jr.,13.4,1.9,4.3,43.4,1.2,1.5,83.2,6.4,1.5,F
Terrence Ross,11,1.8,5,36.3,0.8,1,83.1,2.6,1.1,F
Evan Turner,9,0.5,1.8,26.3,1.3,1.6,82.5,3.8,3.2,F
Nikola Jokic,16.7,0.6,1.9,32.4,2.6,3.1,82.5,9.8,4.9,F
Robert Covington,12.9,2,6.1,33.3,2.1,2.6,82.2,6.5,1.5,F
Joe Johnson,9.2,1.4,3.3,41.1,0.8,1,81.8,3.1,1.8,F
Wesley Matthews,13.5,2.4,6.6,36.3,2,2.5,81.6,3.5,2.9,F
Gorgui Dieng,10,0.2,0.5,37.2,1.7,2,81.4,7.9,1.9,F
Chandler Parsons,6.2,0.7,2.7,26.9,1,1.3,81.4,2.5,1.6,F
LaMarcus Aldridge,17.3,0.3,0.8,41.1,3.1,3.8,81.2,7.3,1.9,F
Jae Crowder,13.9,2.2,5.5,39.8,2.4,3,81.1,5.8,2.2,F
Mindaugas Kuzminskas,6.3,0.8,2.5,32.1,0.8,1,80.9,1.9,1,F
Solomon Hill,7,1.2,3.4,34.8,1.3,1.6,80.5,3.8,1.8,F
JaMychal Green,8.9,0.7,1.9,37.9,1.7,2.2,80.2,7.1,1.1,F
Anthony Davis,28,0.5,1.8,29.9,6.9,8.6,80.2,11.8,2.1,F
Jarell Martin,3.9,0.2,0.6,36,1,1.2,80,3.9,0.2,F
Justin Anderson,7.1,0.8,2.6,29.9,1.4,1.7,79.1,3.3,0.9,F
Taurean Prince,5.7,0.6,1.7,32.4,1.3,1.6,78.7,2.7,0.9,F
Matt Barnes,7.1,1.2,3.6,33.1,0.9,1.2,78.7,5.2,2.6,F
Kristaps Porzingis,18.1,1.7,4.8,35.7,3,3.8,78.6,7.2,1.5,F
Marcus Morris Sr.,14,1.5,4.5,33.1,1.8,2.3,78.4,4.6,2,F
Dario Saric,12.8,1.3,4.2,31.1,2.1,2.7,78.2,6.3,2.2,F
James Ennis III,6.7,0.8,2.1,37.2,1.3,1.7,78.2,4,1,F
Kris Humphries,4.6,0.3,1,35.2,1.1,1.5,78,3.7,0.5,F
Ersan Ilyasova,13.1,1.7,4.9,35.3,2,2.5,77.8,5.9,1.7,F
P.J. Tucker,6.7,0.9,2.4,35.7,0.9,1.1,77.4,5.8,1.2,F
Shabazz Muhammad,9.9,0.6,1.9,33.8,1.9,2.4,77.4,2.8,0.4,F
Nikola Mirotic,10.6,1.8,5.4,34.2,1.4,1.8,77.3,5.5,1.1,F
T.J. Warren,14.4,0.4,1.5,26.5,1.8,2.3,77.3,5.1,1.1,F
DeMarcus Cousins,27,1.8,5,36.1,7.2,9.3,77.2,11,4.6,F
Giannis Antetokounmpo,22.9,0.6,2.3,27.2,5.9,7.7,77,8.8,5.4,F
Paul Millsap,18.1,1.1,3.5,31.1,4.5,5.9,76.8,7.7,3.7,F
Vince Carter,8,1.5,4.1,37.8,1.2,1.6,76.5,3.1,1.8,F
DeMarre Carroll,8.9,1.5,4.4,34.1,1.2,1.6,76.1,3.8,1,F
Andrew Wiggins,23.6,1.3,3.5,35.6,5,6.6,76,4,2.3,F
Blake Griffin,21.6,0.6,1.9,33.6,5.2,6.9,76,8.1,4.9,F
Dwight Powell,6.7,0.3,1,28.4,1.4,1.8,75.9,4,0.6,F
Kelly Oubre Jr.,6.3,0.7,2.4,28.7,0.9,1.3,75.8,3.3,0.6,F
Will Barton,13.7,1.5,3.9,37,2.4,3.2,75.3,4.3,3.4,F
Rondae Hollis-Jefferson,8.7,0.2,0.9,22.4,2.4,3.2,75.1,5.8,2,F
Jonathon Simmons,6.2,0.4,1.3,29.4,1.3,1.7,75,2.1,1.6,F
Juancho Hernangomez,4.9,0.7,1.8,40.7,0.9,1.2,75,3,0.5,F
Quincy Acy,5.8,1,2.4,41.1,1.2,1.6,75,3,0.5,F
Tyreke Evans,10.3,1.1,3,35.6,1.7,2.3,75,3.4,3.1,F
Anthony Tolliver,7.1,1.4,3.5,39.1,0.9,1.3,74.4,3.6,1.2,F
Jabari Parker,20.1,1.3,3.5,36.5,3.2,4.3,74.3,6.2,2.8,F
Michael Beasley,9.4,0.3,0.8,41.9,1.4,1.9,74.3,3.4,0.9,F
Richard Jefferson,5.7,0.8,2.4,33.3,1,1.4,74.1,2.6,1,F
Trevor Ariza,11.7,2.4,6.9,34.4,1.2,1.6,73.8,5.7,2.2,F
Larry Nance Jr.,7.1,0.2,0.6,27.8,0.9,1.3,73.8,5.9,1.5,F
Thabo Sefolosha,7.2,0.7,1.9,34.2,0.9,1.2,73.3,4.4,1.7,F
Kelly Olynyk,9,0.9,2.6,35.4,1.2,1.6,73.2,4.8,2,F
Zach Randolph,14.1,0.3,1.3,22.3,1.9,2.6,73.1,8.2,1.7,F
Luol Deng,7.6,0.9,2.9,30.9,0.8,1.1,73,5.3,1.3,F
Wilson Chandler,15.7,1.5,4.6,33.7,2,2.7,72.7,6.5,2,F
Julius Randle,13.2,0.2,0.9,27,2.8,3.8,72.3,8.6,3.6,F
Anthony Bennett,5,0.6,2.1,27.1,1.1,1.6,72.2,3.4,0.5,F
Trey Lyles,6.2,0.9,2.9,31.9,0.8,1.1,72.2,3.3,1,F
Caris LeVert,8.2,1,3.2,32.1,1.2,1.6,72,3.3,1.9,F
Aaron Gordon,12.7,1,3.3,28.8,2,2.7,71.9,5.1,1.9,F
Glenn Robinson III,6.1,0.7,1.8,39.2,0.8,1.1,71.1,3.6,0.7,F
Draymond Green,10.2,1.1,3.5,30.8,2,2.8,70.9,7.9,7,F
Kent Bazemore,11,1.3,3.6,34.6,1.6,2.3,70.8,3.2,2.4,F
James Johnson,12.8,1.1,3.4,34,2,2.8,70.7,4.9,3.6,F
Al-Farouq Aminu,8.7,1.1,3.5,33,1.6,2.2,70.6,7.4,1.6,F
Andre Iguodala,7.6,0.8,2.3,36.2,0.9,1.3,70.6,4,3.4,F
Richaun Holmes,9.8,0.5,1.4,35.1,1.3,1.8,69.9,5.5,1,F
Jaylen Brown,6.6,0.6,1.7,34.3,1.1,1.6,68.5,2.8,0.8,F
Luc Mbah a Moute,6.1,0.5,1.4,39.1,0.7,1.1,67.8,2.1,0.5,F
Luis Scola,5.1,0.5,1.4,34,0.7,1,67.6,3.9,1,F
LeBron James,26.4,1.7,4.6,36.3,4.8,7.2,67.4,8.6,8.7,F
Trevor Booker,10,0.4,1.1,32.1,1,1.5,67.3,8,1.9,F
Amir Johnson,6.5,0.3,0.8,40.9,0.8,1.3,67,4.6,1.8,F
Jared Dudley,6.8,1.2,3.2,37.9,0.7,1,66.2,3.5,1.9,F
Troy Williams,6.2,0.6,2.1,29,0.7,1.1,65.6,2.3,0.8,F
Derrick Williams,6.1,0.6,1.9,30.9,1.2,1.8,65.2,2.6,0.6,F
Joffrey Lauvergne,5.4,0.5,1.4,33.7,0.7,1,63,3.6,1,F
Marquese Chriss,9.2,0.9,2.7,32.1,1.4,2.2,62.4,4.2,0.7,F
Brandon Ingram,9.4,0.7,2.4,29.4,1.7,2.7,62.1,4,2.1,F
Maurice Harkless,10,0.9,2.5,35.1,1,1.6,62.1,4.4,1.1,F
Tony Allen,9.1,0.2,0.8,27.8,1.1,1.8,61.5,5.5,1.4,F
Jerami Grant,5.5,0.5,1.5,37.1,1.1,1.8,61.2,2.6,0.6,F
Terrence Jones,10.8,0.4,1.4,25.3,1.9,3.1,60.6,5.7,1.1,F
Thaddeus Young,11,0.6,1.6,38.1,0.6,1.2,52.3,6.1,1.6,F
Donatas Motiejunas,4.4,0.3,1.4,23.4,0.7,1.4,51,3,0.9,F
Andre Roberson,6.6,0.6,2.3,24.5,0.6,1.4,42.3,5.1,1,F
Marreese Speights,8.7,1.3,3.4,37.2,1.5,1.7,87.6,4.5,0.8,C
Spencer Hawes,6.2,0.5,1.5,30.9,0.8,1,84.6,3.5,1.5,C
Marc Gasol,19.5,1.4,3.6,38.8,3.8,4.5,83.7,6.3,4.6,C
Karl-Anthony Towns,25.1,1.2,3.4,36.7,4.3,5.2,83.2,12.3,2.7,C
Nikola Jokic,16.7,0.6,1.9,32.4,2.6,3.1,82.5,9.8,4.9,C
Gorgui Dieng,10,0.2,0.5,37.2,1.7,2,81.4,7.9,1.9,C
Brook Lopez,20.5,1.8,5.2,34.6,3.9,4.9,81,5.4,2.3,C
Myles Turner,14.5,0.5,1.4,34.8,3,3.7,80.9,7.3,1.3,C
Anthony Davis,28,0.5,1.8,29.9,6.9,8.6,80.2,11.8,2.1,C
Al Horford,14,1.3,3.6,35.5,1.6,2,80,6.8,5,C
Enes Kanter,14.3,0.1,0.5,13.2,3.1,4,78.6,6.7,0.9,C
Joel Embiid,20.2,1.2,3.2,36.7,6.2,7.9,78.3,7.8,2.1,C
DeMarcus Cousins,27,1.8,5,36.1,7.2,9.3,77.2,11,4.6,C
Dwight Powell,6.7,0.3,1,28.4,1.4,1.8,75.9,4,0.6,C
Frank Kaminsky,11.7,1.5,4.7,32.8,1.6,2.1,75.6,4.5,2.2,C
Kelly Olynyk,9,0.9,2.6,35.4,1.2,1.6,73.2,4.8,2,C
Pau Gasol,12.4,0.9,1.6,53.8,2,2.9,70.7,7.8,2.3,C
Nikola Vucevic,14.6,0.3,1,30.7,1.4,2.1,66.9,10.4,2.8,C
Joffrey Lauvergne,5.4,0.5,1.4,33.7,0.7,1,63,3.6,1,C
Donatas Motiejunas,4.4,0.3,1.4,23.4,0.7,1.4,51,3,0.9,C
