PLAYER,PTS,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,POS
Chasson Randle,5.3,0.6,1.8,34,1.6,1.7,95.3,1.2,1.3,G
CJ McCollum,23,2.3,5.5,42.1,3.4,3.7,91.2,3.6,3.6,G
Isaiah Thomas,28.9,3.2,8.5,37.9,7.8,8.5,90.9,2.7,5.9,G
Kyrie Irving,25.2,2.5,6.1,40.1,4.1,4.6,90.5,3.2,5.8,G
CJ Miles,10.7,2.2,5.4,41.3,1.1,1.2,90.3,3,0.6,G
Stephen Curry,25.3,4.1,10,41.1,4.1,4.6,89.8,4.5,6.6,G
Damian Lillard,27,2.9,7.7,37,6.5,7.3,89.5,4.9,5.9,G
Bojan Bogdanovic,13.7,1.8,4.8,36.7,2.7,3,89.3,3.4,1.4,G
Marco Belinelli,10.5,1.4,3.8,36,2,2.3,89.3,2.4,2,G
Arron Afflalo,8.4,1,2.5,41.1,1.4,1.5,89.2,2,1.3,G
Chris Paul,18.1,2,5,41.1,3.8,4.3,89.2,5,9.2,G
Ricky Rubio,11.1,0.8,2.6,30.6,3.4,3.8,89.1,4.1,9.1,G
JJ Redick,15,2.6,6,42.9,2.3,2.6,89.1,2.2,1.4,G
Jerian Grant,5.9,0.8,2.1,36.6,1,1.2,89,1.8,1.9,G
Jamal Murray,9.9,1.4,4.2,33.4,1.3,1.5,88.3,2.6,2.1,G
Khris Middleton,14.7,1.6,3.6,43.3,2.8,3.2,88,4.2,3.4,G
Lou Williams,17.5,2,5.5,36.5,5,5.6,88,2.5,3,G
Jodie Meeks,9.1,1.6,3.8,40.9,1.8,2.1,87.8,2.1,1.3,G
Derrick Rose,18,0.2,0.9,21.7,3.5,4,87.4,3.8,4.4,G
Reggie Jackson,14.5,1.3,3.5,35.9,2.3,2.6,86.8,2.2,5.2,G
Jeff Teague,15.3,1.1,3.1,35.7,4.4,5.1,86.7,4,7.8,G
Courtney Lee,10.8,1.4,3.5,40.1,1.1,1.3,86.7,3.4,2.3,G
Malcolm Brogdon,10.2,1,2.6,40.4,1.5,1.7,86.5,2.8,4.2,G
C.J. Watson,4.5,0.5,1.7,30.5,0.9,1.1,86.4,1.4,1.8,G
J.J. Barea,10.9,1.5,4.2,35.8,1.3,1.5,86.3,2.4,5.5,G
Darren Collison,13.2,1.1,2.6,41.7,2.2,2.5,86,2.2,4.6,G
Mike Conley,20.5,2.5,6.1,40.8,4.6,5.3,85.9,3.5,6.3,G
Brandon Knight,11,0.8,2.6,32.4,2.4,2.9,85.7,2.2,2.4,G
Jamal Crawford,12.3,1.4,3.9,36,2.1,2.5,85.7,1.6,2.6,G
Nicolas Batum,15.1,1.8,5.3,33.3,3.2,3.7,85.6,6.2,5.9,G
Nick Young,13.2,2.8,7,40.4,1.3,1.5,85.6,2.3,1,G
Dennis Schroder,17.9,1.3,3.7,34,2.8,3.2,85.5,3.1,6.3,G
Matthew Dellavedova,7.6,1,2.8,36.7,1.1,1.3,85.4,1.9,4.7,G
Timothe Luwawu-Cabarrot,6.4,0.7,2.3,31.1,1.5,1.8,85.4,2.2,1.1,G
Klay Thompson,22.3,3.4,8.3,41.4,2.4,2.8,85.3,3.7,2.1,G
Jeremy Lamb,9.7,0.7,2.4,28.1,1.8,2.1,85.3,4.3,1.2,G
Seth Curry,12.8,2,4.6,42.5,1.2,1.4,85,2.6,2.7,G
Eric Bledsoe,21.1,1.6,4.7,33.5,5.9,6.9,84.7,4.8,6.3,G
Kemba Walker,23.2,3,7.6,39.9,3.8,4.5,84.7,3.9,5.5,G
Allen Crabbe,10.7,1.7,3.8,44.4,1.3,1.6,84.7,2.9,1.2,G
James Harden,29.1,3.2,9.3,34.7,9.2,10.9,84.7,8.1,11.2,G
Brian Roberts,3.5,0.4,1.1,38.6,0.8,1,84.6,1,1.3,G
Russell Westbrook,31.6,2.5,7.2,34.3,8.8,10.4,84.5,10.7,10.4,G
Sean Kilpatrick,13.1,1.5,4.4,34.1,2.9,3.5,84.3,4,2.2,G
DeMar DeRozan,27.3,0.4,1.7,26.6,7.4,8.7,84.2,5.2,3.9,G
Eric Gordon,16.2,3.3,8.8,37.2,2,2.3,84,2.7,2.5,G
Wade Baldwin IV,3.2,0.1,0.7,13.6,0.9,1.1,83.8,1.4,1.8,G
Zach LaVine,18.9,2.6,6.6,38.7,2.5,3,83.6,3.4,3,G
Kentavious Caldwell-Pope,13.8,2,5.8,35,2,2.4,83.2,3.3,2.5,G
Devin Booker,22.1,1.9,5.2,36.3,4.7,5.7,83.2,3.2,3.4,G
Yogi Ferrell,10,1.5,3.8,38.6,1.6,1.9,83.1,2.4,3.7,G
Devin Harris,6.7,0.9,2.7,32.8,1.6,2,82.9,2,2.1,G
Toney Douglas,4.9,0.3,1.8,16.7,1,1.2,82.8,2.5,2.3,G
Deron Williams,11,1.3,3.7,36.3,1.4,1.7,82.6,2.3,5.6,G
Evan Turner,9,0.5,1.8,26.3,1.3,1.6,82.5,3.8,3.2,G
Justin Holiday,7.7,1.2,3.3,35.5,0.8,1,82.5,2.7,1.2,G
Patty Mills,9.5,1.8,4.4,41.4,0.8,1,82.5,1.8,3.5,G
Bradley Beal,23.1,2.9,7.2,40.4,3.7,4.4,82.5,3.1,3.5,G
Kyle Lowry,22.4,3.2,7.8,41.2,5,6.1,81.9,4.8,7,G
Joe Johnson,9.2,1.4,3.3,41.1,0.8,1,81.8,3.1,1.8,G
Wesley Matthews,13.5,2.4,6.6,36.3,2,2.5,81.6,3.5,2.9,G
Jeremy Lin,14.5,1.6,4.3,37.2,3.2,3.9,81.6,3.8,5.1,G
D.J. Augustin,7.9,1.2,3.5,34.7,1.7,2.1,81.4,1.5,2.7,G
Nik Stauskas,9.5,1.7,4.5,36.8,1.5,1.9,81.3,2.8,2.4,G
Marcus Smart,10.6,1.2,4.2,28.3,2.6,3.2,81.2,3.9,4.6,G
T.J. McConnell,6.9,0.1,0.7,20,0.9,1.1,81.1,3.1,6.6,G
Malcolm Delaney,5.4,0.4,1.5,23.6,1,1.3,80.6,1.7,2.6,G
Gerald Henderson,9.2,0.8,2.4,35.3,1.8,2.3,80.6,2.6,1.6,G
Isaiah Whitehead,7.4,0.6,2,29.5,1.2,1.5,80.5,2.5,2.6,G
Evan Fournier,17.2,1.9,5.3,35.6,3.3,4.1,80.5,3.1,3,G
Manu Ginobili,7.5,1.3,3.3,39.2,1.2,1.6,80.4,2.3,2.7,G
George Hill,16.9,1.9,4.8,40.3,3.2,4,80.1,3.4,4.2,G
John Wall,23.1,1.1,3.5,32.7,5.4,6.8,80.1,4.2,10.7,G
Jordan Clarkson,14.7,1.4,4.3,32.9,1.6,2,79.8,3,2.6,G
