PLAYER,PTS,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,POS
Moochie Norris,8.1,0.4,1.6,26.9,1.5,2.1,75.1,3,4.9,G
Morris Peterson,14,1.3,3.7,36.4,2,2.7,75.1,3.5,2.4,G
Tracy McGrady,25.6,1.4,3.7,36.4,5.5,7.3,74.8,7.8,5.3,G
Kerry Kittles,13.4,1.2,3,40.5,1.6,2.1,74.4,3.4,2.6,G
Matt Harpring,11.8,0.3,0.9,30.4,2,2.7,74.3,7.1,1.3,G
Bonzi Wells,17,0.9,2.3,38.4,2.9,3.9,74.1,6,2.8,G
Larry Hughes,12.3,0.2,1.3,19.4,2.6,3.5,73.7,3.4,4.3,G
Alvin Williams,11.8,0.8,2.4,32.1,1.3,1.7,73.6,3.4,5.7,G
David Wesley,14.2,1.3,3.8,33.2,2.1,2.8,73.4,2.1,3.5,G
Bobby Simmons,3.7,0.1,0.5,28.6,0.7,1,73.3,1.7,0.6,G
Eric Williams,6.4,0.3,1.2,27.9,2.2,3,73.1,3,1.5,G
Milt Palacio,3.3,0.2,0.6,31.7,0.8,1.1,73,1.1,1.2,G
Rodney Buford,9.4,0.3,1.1,24.3,0.9,1.3,72.5,4.3,1.1,G
Bob Sura,10,0.5,1.7,31.6,3,4.2,72,3.3,3.5,G
Jamaal Tinsley,9.4,0.5,2.2,24,1.6,2.3,70.4,3.7,8.1,G
Ruben Patterson,11.2,0.1,0.5,25,2.6,3.7,70.1,4,1.4,G
Shane Battier,14.4,1.3,3.5,37.3,2.5,3.6,70,5.4,2.8,G
Chucky Atkins,12.1,1.7,4.3,41.1,1.1,1.5,69.2,2,3.3,G
Shandon Anderson,5,0.5,1.7,27.7,0.9,1.3,69.2,3,0.9,G
Tyrone Nesby,6.3,0.2,0.7,27.7,0.9,1.3,68.8,4.5,1.3,G
Kendall Gill,5.7,0.1,0.7,13.6,0.6,1,67.7,2.8,1.5,G
Tony Parker,9.2,0.8,2.5,32.3,1.4,2.1,67.5,2.6,4.3,G
Devean George,7.1,0.8,2.2,37.1,1,1.5,67.5,3.7,1.4,G
Jason Richardson,14.4,1,3.1,33.3,1.8,2.6,67.1,4.3,3,G
Will Solomon,5.2,0.7,2.6,28.4,0.8,1.2,67.1,1.1,1.5,G
Greg Anthony,7.9,0.8,2.7,29.4,1,1.5,65.9,2.2,4.7,G
Charles Smith,7.4,0.6,2.2,26.7,0.7,1.1,64.6,2.2,1.3,G
Baron Davis,18.1,2.1,5.8,35.6,2.4,4.1,58,4.3,8.5,G
Bruce Bowen,7,0.9,2.5,37.8,0.8,1.6,47.9,2.7,1.5,G
Eric Piatkowski,8.8,1.6,3.4,46.6,1.4,1.6,89.4,2.6,1.6,F
Richard Hamilton,20,0.3,0.7,38.1,4.8,5.3,89,3.4,2.7,F
Steven Smith,11.6,1.5,3.2,47.2,2.1,2.4,87.8,2.5,2,F
Peja Stojakovic,21.2,1.8,4.4,41.6,4,4.5,87.6,5.3,2.5,F
Jamal Mashburn,21.5,1,2.8,36.6,5.3,6,87.6,6.1,4.3,F
Jim Jackson,10.7,0.7,1.5,46.9,1.4,1.6,86.2,5.3,2.5,F
Jerry Stackhouse,21.4,1.1,3.9,28.7,6.5,7.6,85.8,4.1,5.3,F
Dirk Nowitzki,23.4,1.8,4.6,39.7,5.8,6.8,85.3,9.9,2.4,F
Doug Christie,12,1.1,3.2,35.2,2.5,3,85.1,4.6,4.2,F
Austin Croshere,6.8,0.6,1.9,33.8,1.3,1.5,85.1,3.9,1,F
Desmond Mason,12.4,0.2,0.8,27.1,2.7,3.2,84.8,4.7,1.4,F
Shawn Marion,19.1,0.6,1.5,39.3,2.4,2.8,84.5,9.9,2,F
Jalen Rose,20.4,1.1,3,36.2,3.4,4,83.9,4.5,4.3,F
Glenn Robinson,20.7,0.9,2.7,32.6,3.6,4.3,83.7,6.2,2.5,F
Michael Finley,20.6,1.1,3.2,33.9,3,3.6,83.7,5.2,3.3,F
Wally Szczerbiak,18.7,1.1,2.3,45.5,2.8,3.3,83.1,4.8,3.1,F
Rick Fox,7.9,0.8,2.5,31.3,0.9,1,82.4,4.7,3.5,F
Bryon Russell,9.6,1.2,3.4,34.1,1.7,2.1,82.1,4.5,2.1,F
Latrell Sprewell,19.4,1.8,5,36,3.5,4.3,82.1,3.7,3.9,F
Lamond Murray,16.6,1.4,3.4,42.4,3,3.7,81.7,5.2,2.2,F
Derrick Coleman,15.1,0.5,1.4,33.7,3.2,3.9,81.5,8.8,1.7,F
Anfernee Hardaway,12,0.3,1,27.7,2,2.4,81,4.4,4.1,F
Rashard Lewis,16.8,1.7,4.5,38.9,2.3,2.8,81,7,1.7,F
George McCloud,8.8,0.9,3.2,27,1.9,2.4,81,3.6,3,F
DerMarr Johnson,8.4,1.2,3.4,36,1.2,1.5,81,3.4,1.1,F
Paul Pierce,26.1,2.6,6.3,40.4,6.3,7.8,80.9,6.9,3.2,F
Kevin Garnett,21.2,0.5,1.4,31.9,4.4,5.5,80.1,12.1,5.2,F
Shareef Abdur-Rahim,21.2,0.3,0.9,30,5.4,6.8,80.1,9,3.1,F
Corey Maggette,11.4,0.7,2.2,33.1,3.2,4,80.1,3.7,1.8,F
Glen Rice,8.6,0.9,3.2,28.1,1.2,1.5,80,2.4,1.6,F
Keith Van Horn,14.8,1.2,3.6,34.5,1.9,2.4,80,7.5,2,F
Wesley Person,15.1,1.8,4.1,44.4,1.3,1.6,79.8,3.8,2.2,F
Ron Mercer,13.9,0.3,1.2,29,1.8,2.2,79.8,3.4,2.4,F
Vince Carter,24.7,2,5.2,38.7,4.1,5.1,79.8,5.2,4,F
Chris Mills,7.4,0.7,1.9,37.8,1.3,1.6,79.4,2.9,1.1,F
Tim Thomas,11.7,1.3,3.9,32.6,1.9,2.4,79.3,4.1,1.4,F
James Posey,10.7,0.9,3.2,28.3,2.2,2.8,79.3,5.9,2.5,F
Rodney Rogers,11.9,1.1,3.1,37.4,1.5,1.9,78.5,4.5,1.4,F
Walt Williams,9.4,1.6,3.8,42.6,0.8,1.1,78.4,3.4,1.4,F
Robert Horry,6.8,0.9,2.5,37.4,1.3,1.7,78.3,5.9,2.9,F
Oscar Torres,6,0.6,1.9,29.4,1.3,1.6,78.1,1.9,0.6,F
Scottie Pippen,10.6,0.9,2.9,30.5,1.8,2.4,77.4,5.2,5.9,F
Jonathan Bender,7.4,0.6,1.6,36,1.8,2.3,77.3,3.1,0.8,F
Andrei Kirilenko,10.7,0.3,1.2,25,3.5,4.5,76.8,4.9,1.1,F
Mike Miller,15.2,1.8,4.8,38.3,2.2,2.9,76.2,4.3,3.1,F
Dion Glover,8.9,0.5,1.7,33,1.4,1.9,75.7,3.1,1.5,F
Morris Peterson,14,1.3,3.7,36.4,2,2.7,75.1,3.5,2.4,F
Eddie Griffin,8.8,1.2,3.7,33,0.9,1.2,74.4,5.7,0.7,F
Matt Harpring,11.8,0.3,0.9,30.4,2,2.7,74.3,7.1,1.3,F
Bonzi Wells,17,0.9,2.3,38.4,2.9,3.9,74.1,6,2.8,F
Antoine Walker,22.1,2.7,8,34.4,3,4,74.1,8.8,5,F
Scott Padgett,6.7,0.7,1.5,43.4,1,1.4,73.5,3.8,1.1,F
Antawn Jamison,19.7,0.8,2.6,32.4,3.9,5.4,73.4,6.8,2,F
Rasheed Wallace,19.3,1.4,4,36,2.5,3.5,73.4,8.2,1.9,F
Bobby Simmons,3.7,0.1,0.5,28.6,0.7,1,73.3,1.7,0.6,F
Eric Williams,6.4,0.3,1.2,27.9,2.2,3,73.1,3,1.5,F
Hedo Turkoglu,10.1,0.8,2.1,36.8,2.1,2.9,72.6,4.5,2,F
Rodney Buford,9.4,0.3,1.1,24.3,0.9,1.3,72.5,4.3,1.1,F
Johnny Newman,4.2,0.5,1.2,38.6,0.9,1.2,72.4,1,0.3,F
Richard Jefferson,9.4,0.2,0.7,23.2,2.4,3.4,71.3,3.7,1.8,F
Toni Kukoc,9.9,0.9,2.9,31,1.8,2.6,71.2,3.7,3.5,F
Donyell Marshall,14.8,0.2,0.7,31,2.8,3.9,70.8,7.6,1.7,F
Ruben Patterson,11.2,0.1,0.5,25,2.6,3.7,70.1,4,1.4,F
Shane Battier,14.4,1.3,3.5,37.3,2.5,3.6,70,5.4,2.8,F
Raef LaFrentz,13.5,1.3,3.4,38.8,1.3,1.9,69.5,7.4,1.1,F
Clifford Robinson,14.6,1.4,3.8,37.8,1.8,2.6,69.4,4.8,2.5,F
Shandon Anderson,5,0.5,1.7,27.7,0.9,1.3,69.2,3,0.9,F
Tyrone Nesby,6.3,0.2,0.7,27.7,0.9,1.3,68.8,4.5,1.3,F
Vladimir Radmanovic,6.7,1.1,2.6,42,0.8,1.2,68.1,3.8,1.3,F
Kenyon Martin,14.9,0.2,0.9,22.4,2.5,3.7,67.8,5.3,2.6,F
Kendall Gill,5.7,0.1,0.7,13.6,0.6,1,67.7,2.8,1.5,F
Devean George,7.1,0.8,2.2,37.1,1,1.5,67.5,3.7,1.4,F
Jason Richardson,14.4,1,3.1,33.3,1.8,2.6,67.1,4.3,3,F
Marcus Fizer,12.3,0.1,0.5,17.1,2.5,3.7,66.8,5.6,1.6,F
Metta World Peace,13.2,1,3.1,31.2,2.5,3.7,66.7,4.9,2.3,F
Lamar Odom,13.1,0.6,2.9,19,2.1,3.2,65.6,6.1,5.9,F
LaPhonso Ellis,7.1,0.6,1.9,30.6,0.8,1.3,63.1,4.3,0.8,F
Bruce Bowen,7,0.9,2.5,37.8,0.8,1.6,47.9,2.7,1.5,F
Dirk Nowitzki,23.4,1.8,4.6,39.7,5.8,6.8,85.3,9.9,2.4,C
Wang Zhi-zhi,5.6,0.9,2.1,41.4,0.8,1,73.7,2,0.4,C
Rasheed Wallace,19.3,1.4,4,36,2.5,3.5,73.4,8.2,1.9,C
Raef LaFrentz,13.5,1.3,3.4,38.8,1.3,1.9,69.5,7.4,1.1,C
Clifford Robinson,14.6,1.4,3.8,37.8,1.8,2.6,69.4,4.8,2.5,C
