PLAYER,PTS,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,POS
Terrell Brandon,12.4,0.1,0.7,17.4,2.6,2.6,98.8,2.9,8.3,G
Jon Barry,9,1.5,3.1,46.9,1.3,1.4,93.1,2.9,3.3,G
Trajan Langdon,4.8,0.6,1.7,36.5,1,1,91.3,1.3,1.4,G
Reggie Miller,16.5,2.3,5.6,40.6,3.7,4.1,91.1,2.8,3.2,G
Travis Best,7.9,0.3,0.8,35.6,1.4,1.6,89.7,2,4.4,G
Eric Piatkowski,8.8,1.6,3.4,46.6,1.4,1.6,89.4,2.6,1.6,G
Richard Hamilton,20,0.3,0.7,38.1,4.8,5.3,89,3.4,2.7,G
Darrell Armstrong,12.4,1.7,4.9,34.9,2.2,2.5,88.8,3.9,5.5,G
Damon Stoudamire,13.5,1.4,3.9,35.3,2.3,2.6,88.8,3.9,6.5,G
Steve Nash,17.9,1.9,4.2,45.5,3.2,3.6,88.7,3.1,7.7,G
Chauncey Billups,12.5,1.5,3.8,39.4,2.5,2.9,88.5,2.8,5.5,G
Chris Whitney,10.2,1.6,3.9,40.6,1.9,2.1,88,1.9,3.8,G
Steven Smith,11.6,1.5,3.2,47.2,2.1,2.4,87.8,2.5,2,G
Troy Hudson,11.7,0.8,2.3,35.3,2.2,2.5,87.6,1.8,3.1,G
Ray Allen,21.8,3.3,7.7,43.4,3.1,3.6,87.3,4.5,3.9,G
Allan Houston,20.4,1.8,4.5,39.3,3.8,4.4,87,3.3,2.5,G
John Crotty,6.9,0.8,1.7,44.9,1.4,1.6,86.4,1.8,3.4,G
Jim Jackson,10.7,0.7,1.5,46.9,1.4,1.6,86.2,5.3,2.5,G
Sam Cassell,19.7,1,2.8,34.8,3.8,4.4,86,4.2,6.7,G
Jerry Stackhouse,21.4,1.1,3.9,28.7,6.5,7.6,85.8,4.1,5.3,G
Rusty LaRue,5.8,0.5,1.5,34,0.9,1.1,85.7,1.5,2.2,G
John Stockton,13.4,0.3,1,32.1,3.4,3.9,85.7,3.2,8.2,G
Derek Anderson,10.8,1.2,3.3,37.3,2.5,3,85.6,2.7,3.1,G
Doug Christie,12,1.1,3.2,35.2,2.5,3,85.1,4.6,4.2,G
Cuttino Mobley,21.7,2,5.1,39.5,3.6,4.2,85,4.1,2.5,G
Desmond Mason,12.4,0.2,0.8,27.1,2.7,3.2,84.8,4.7,1.4,G
Derek Fisher,11.2,2.1,5,41.3,1.3,1.6,84.7,2.1,2.6,G
Brent Barry,14.4,2,4.8,42.4,2.4,2.9,84.6,5.4,5.3,G
Bryant Stith,4.2,0.5,1.4,35.3,0.9,1,84.6,1.7,0.8,G
Erick Strickland,7.7,1.2,3.1,38.5,1.7,2,84.5,2.7,2.3,G
Lucious Harris,9.1,0.6,1.6,37.3,1.8,2.1,84.2,2.8,1.6,G
Fred Hoiberg,4.4,0.3,1.2,26.1,1,1.2,84,2.7,1.7,G
Jalen Rose,20.4,1.1,3,36.2,3.4,4,83.9,4.5,4.3,G
Speedy Claxton,7.2,0.1,0.5,12.1,1.7,2,83.8,2.4,3,G
Michael Finley,20.6,1.1,3.2,33.9,3,3.6,83.7,5.2,3.3,G
Eddie Jones,18.3,1.8,4.7,39,3.7,4.4,83.7,4.7,3.2,G
Jeff McInnis,14.6,0.9,2.9,32.1,2.3,2.7,83.6,2.6,6.2,G
Jason Terry,19.3,2.2,5.7,38.7,3.6,4.4,83.5,3.5,5.7,G
Wally Szczerbiak,18.7,1.1,2.3,45.5,2.8,3.3,83.1,4.8,3.1,G
Kobe Bryant,25.2,0.4,1.7,25,6.1,7.4,82.9,5.5,5.5,G
Jacque Vaughn,6.6,0.3,0.7,44.4,1.3,1.5,82.5,2,4.3,G
Bryon Russell,9.6,1.2,3.4,34.1,1.7,2.1,82.1,4.5,2.1,G
Latrell Sprewell,19.4,1.8,5,36,3.5,4.3,82.1,3.7,3.9,G
Terry Porter,5.5,0.8,2,41.5,0.9,1.2,81.9,2.3,2.8,G
Chris Childs,4.1,0.5,1.7,27.5,0.8,1,81.7,2.2,5.1,G
Andre Miller,16.5,0.3,1.1,25.3,4.5,5.5,81.7,4.7,10.9,G
Jason Kidd,14.7,1.4,4.4,32.1,2.5,3,81.4,7.3,9.9,G
Allen Iverson,31.4,1.3,4.5,29.1,7.9,9.8,81.2,4.5,5.5,G
Anfernee Hardaway,12,0.3,1,27.7,2,2.4,81,4.4,4.1,G
Bobby Jackson,11.1,1,2.7,36.1,1.8,2.3,81,3.1,2,G
DerMarr Johnson,8.4,1.2,3.4,36,1.2,1.5,81,3.4,1.1,G
Paul Pierce,26.1,2.6,6.3,40.4,6.3,7.8,80.9,6.9,3.2,G
Tony Delk,9.5,1.1,3.4,31.3,1.2,1.5,80.4,3.2,2.1,G
Mike Bibby,13.7,0.6,1.7,37,1.9,2.4,80.3,2.8,5,G
Corey Maggette,11.4,0.7,2.2,33.1,3.2,4,80.1,3.7,1.8,G
Nick Van Exel,18.4,1.7,4.9,34,2.8,3.5,80.1,3.5,6.6,G
Glen Rice,8.6,0.9,3.2,28.1,1.2,1.5,80,2.4,1.6,G
Wesley Person,15.1,1.8,4.1,44.4,1.3,1.6,79.8,3.8,2.2,G
Vince Carter,24.7,2,5.2,38.7,4.1,5.1,79.8,5.2,4,G
Gary Payton,22.1,0.9,2.9,31.4,3.3,4.1,79.7,4.8,9,G
Howard Eisley,4.4,0.4,1.5,24.1,1,1.3,79.6,1.3,2.6,G
Eddie Gill,5,0.3,1,31.8,1.3,1.7,79.5,1.2,2.1,G
Tim Hardaway,9.6,1.8,5.2,34.7,1.1,1.4,79.4,1.8,4.1,G
James Posey,10.7,0.9,3.2,28.3,2.2,2.8,79.3,5.9,2.5,G
Jason Williams,14.8,2,6.6,29.5,1.2,1.6,79.2,3,8,G
Michael Redd,11.4,1.3,3,44.4,1.4,1.7,79.1,3.3,1.4,G
Mark Jackson,8.4,1,2.4,40.5,1.1,1.3,79.1,3.8,7.4,G
Michael Jordan,22.9,0.2,0.9,18.9,4.4,5.6,79,5.7,5.2,G
Aaron McKie,12.2,1.1,2.7,39.8,2,2.5,78.7,4,3.7,G
Walt Williams,9.4,1.6,3.8,42.6,0.8,1.1,78.4,3.4,1.4,G
Voshon Lenard,11.5,1.3,3.4,37.1,1.3,1.7,78.3,2.6,1.8,G
Kenny Satterfield,5.3,0.2,0.8,25.9,1,1.3,78.3,1.4,3,G
Stephon Marbury,20.4,0.9,3,28.6,4.3,5.5,78.1,3.2,8.1,G
Oscar Torres,6,0.6,1.9,29.4,1.3,1.6,78.1,1.9,0.6,G
Gilbert Arenas,10.9,0.8,2.4,34.5,2.6,3.4,77.5,2.8,3.7,G
Scottie Pippen,10.6,0.9,2.9,30.5,1.8,2.4,77.4,5.2,5.9,G
Steve Francis,21.6,1.2,3.7,32.4,5.7,7.4,77.3,7,6.4,G
Quentin Richardson,13.3,1.6,4.3,38.1,1.8,2.3,76.5,4.1,1.6,G
Trenton Hassell,8.7,0.8,2.1,36.4,1.1,1.5,76.3,3.3,2.2,G
Mike Miller,15.2,1.8,4.8,38.3,2.2,2.9,76.2,4.3,3.1,G
Dion Glover,8.9,0.5,1.7,33,1.4,1.9,75.7,3.1,1.5,G
Antonio Daniels,9.2,0.7,2.4,29.1,1.9,2.6,75.2,2.1,2.8,G
