PLAYER,PTS,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,POS
Will Barton,15.7,1.9,5.2,37,2.2,2.8,80.5,5,4.1,G
Donovan Mitchell,20.5,2.4,7,34,3,3.8,80.5,3.7,3.7,G
Malcolm Delaney,6.3,0.9,2.3,37.1,1.4,1.7,80.4,1.9,3,G
Goran Dragic,17.3,1.5,4,37,2.9,3.6,80.1,4.1,4.8,G
Jordan Clarkson,13.9,1.4,3.9,35.2,1.9,2.3,80,2.7,2.7,G
Victor Oladipo,23.1,2.1,5.8,37.1,3.9,4.9,79.9,5.2,4.3,G
Yogi Ferrell,10.2,1.6,4.4,37.3,1,1.3,79.6,3,2.5,G
Kent Bazemore,12.9,1.7,4.2,39.4,2.5,3.1,79.6,3.8,3.5,G
Jerryd Bayless,7.9,1.4,3.7,37,0.9,1.1,79.5,2.1,1.4,G
Eric Bledsoe,17.7,1.7,4.9,34.7,3.4,4.3,79.5,3.8,5,G
Timothe Luwawu-Cabarrot,5.8,1,3,33.5,0.9,1.1,79.3,1.4,1,G
Bradley Beal,22.6,2.4,6.5,37.5,3.6,4.5,79.1,4.4,4.5,G
Kentavious Caldwell-Pope,13.4,2.1,5.6,38.3,2.1,2.6,78.9,5.2,2.2,G
George Hill,10,1.3,3.1,41.5,1.6,2.1,78.6,2.7,2.8,G
Jrue Holiday,19,1.5,4.4,33.7,2.3,2.9,78.6,4.5,6,G
Tyreke Evans,19.4,2.2,5.5,39.9,3.2,4,78.5,5.1,5.2,G
J.J. Barea,11.6,1.7,4.5,36.7,1.2,1.5,78.4,2.9,6.3,G
Tyrone Wallace,9.7,0.3,1.3,25,2,2.6,78.2,3.5,2.4,G
Tomas Satoransky,7.2,0.6,1.4,46.5,1,1.3,78.1,3.2,3.9,G
Andrew Harrison,9.5,0.8,2.5,33.1,2.2,2.8,78,2.3,3.2,G
Jawun Evans,4.8,0.3,1.1,27.8,0.8,1,77.6,1.8,2.1,G
Ramon Sessions,4.9,0.3,0.9,30.8,1.6,2,77.2,1.4,2.8,G
Terry Rozier,11.3,1.9,5,38.1,1.4,1.9,77.2,4.7,2.9,G
Garrett Temple,8.4,1.4,3.5,39.2,0.9,1.2,76.9,2.3,1.9,G
Avery Bradley,14.3,1.6,4.4,36.9,1.4,1.8,76.8,2.5,2,G
Mike James,9.3,0.7,2.7,26.5,1.8,2.3,76.2,2.5,3.5,G
Emmanuel Mudiay,8.6,0.7,2.3,31.8,1.5,2,76,2.4,3.2,G
Terrence Ross,8.7,1.3,3.9,32.3,1.1,1.5,75,3,1.6,G
Dillon Brooks,11,1.1,3.2,35.6,1.5,2,74.7,3.1,1.6,G
Wayne Selden,9.3,1.4,3.5,40.2,1.3,1.7,74.6,1.6,1.9,G
Cory Joseph,7.9,0.8,2.3,35.3,0.9,1.1,74.5,3.2,3.2,G
Jerian Grant,8.4,0.8,2.5,32.6,1.9,2.5,74.5,2.3,4.6,G
D'Angelo Russell,15.5,1.9,5.8,32.4,2,2.7,74,3.9,5.2,G
Dion Waiters,14.3,1.7,5.7,30.6,1.7,2.3,73.9,2.6,3.8,G
Justin Anderson,6.2,0.9,2.7,33,0.7,1,73.7,2.4,0.7,G
Kris Dunn,13.4,0.8,2.6,32.1,1.6,2.2,73.7,4.3,6,G
Shaquille Harrison,6.6,0.3,1.1,23.1,1.2,1.7,73.7,2.7,2.4,G
Russell Westbrook,25.4,1.2,4.1,29.8,5.2,7.1,73.7,10.1,10.3,G
LeBron James,27.5,1.8,5,36.7,4.7,6.5,73.1,8.6,9.1,G
Marcus Smart,10.2,1.4,4.6,30.1,1.8,2.5,72.9,3.5,4.8,G
John Wall,19.4,1.5,4.1,37.1,4.3,5.9,72.6,3.7,9.6,G
De'Aaron Fox,11.6,0.6,2.1,30.7,1.9,2.7,72.3,2.8,4.4,G
Dwyane Wade,11.4,0.5,1.7,28.8,2,2.8,71.4,3.8,3.4,G
Tyler Dorsey,7.2,1.3,3.6,36.2,0.8,1.1,71.4,2.3,1.4,G
Shelvin Mack,6.9,0.7,2,34.5,1,1.4,71.1,2.4,3.9,G
Caris LeVert,12.1,1.2,3.5,34.7,1.9,2.6,71.1,3.7,4.2,G
Tony Parker,7.7,0.2,0.7,27,1,1.4,70.5,1.7,3.5,G
Isaiah Taylor,6.6,0.3,1.2,25,1.5,2.1,70.2,1.4,3.1,G
Josh Hart,7.9,1.2,3.1,39.6,1,1.5,70.2,4.2,1.3,G
Ish Smith,10.9,0.4,1.2,34.7,1,1.4,69.8,2.7,4.4,G
Dennis Smith Jr.,15.2,1.5,4.9,31.3,1.9,2.8,69.4,3.8,5.2,G
Brandon Ingram,16.1,0.7,1.8,39,3.3,4.8,68.1,5.3,3.9,G
Sindarius Thornwell,3.9,0.3,0.8,37.7,0.8,1.2,67,1.9,0.9,G
Derrick Jones Jr.,3.1,0.2,0.9,16.7,0.8,1.2,66.7,1.9,0.5,G
Lance Stephenson,9.2,0.8,2.8,28.9,1,1.5,66.1,5.2,2.9,G
Trey Burke,12.8,1.1,2.9,36.2,1,1.6,64.9,2,4.7,G
Elfrid Payton,12.7,0.5,1.5,32.6,1.7,2.7,64.9,4.3,6.2,G
Jaylen Brown,14.5,1.7,4.4,39.5,2.1,3.3,64.4,4.9,1.6,G
Austin Rivers,15.1,2.2,5.9,37.8,1.7,2.6,64.2,2.4,4,G
Justise Winslow,7.8,0.7,1.9,38,1,1.5,63.5,5.4,2.2,G
Josh Jackson,13.1,0.7,2.8,26.3,2.3,3.6,63.4,4.6,1.5,G
Andre Iguodala,6,0.5,1.8,28.2,0.9,1.4,63.2,3.8,3.3,G
DeAndre' Bembry,5.2,0.4,1.2,36.7,0.7,1.3,57.6,2.8,1.9,G
Kyle Collinsworth,3.2,0.1,0.5,23.5,0.7,1.3,52.5,3.3,1.8,G
Tony Allen,4.7,0.2,0.5,33.3,0.5,1,52.4,2.1,0.4,G
Lonzo Ball,10.2,1.7,5.7,30.5,0.6,1.4,45.1,6.9,7.2,G
Andre Roberson,5,0.2,0.9,22.2,0.3,1,31.6,4.7,1.2,G
Danilo Gallinari,15.3,1.7,5.3,32.4,3.9,4.1,93.1,4.8,2,F
Mike Muscala,7.6,1.2,3.2,37.1,1.1,1.2,91.9,4.3,1,F
Marco Belinelli,12.1,1.9,4.9,37.7,1.9,2,90.8,1.9,1.9,F
JJ Redick,17.1,2.8,6.6,42,2.8,3.1,90.4,2.5,3,F
Dirk Nowitzki,12,1.8,4.4,40.9,1.3,1.4,89.8,5.7,1.6,F
Kevin Durant,26.4,2.5,6.1,41.9,5.3,5.9,88.9,6.8,5.4,F
Khris Middleton,20.1,1.8,5,35.9,3.9,4.4,88.4,5.2,4,F
Kevin Love,17.6,2.3,5.6,41.5,4,4.5,88,9.3,1.7,F
Bojan Bogdanovic,14.3,1.9,4.8,40.2,2.2,2.6,86.8,3.4,1.5,F
Jeff Green,10.8,0.7,2.2,31.2,2.6,3,86.8,3.2,1.3,F
Evan Fournier,17.8,2.2,5.9,37.9,2.6,3,86.7,3.2,2.9,F
Dario Saric,14.6,2,5.1,39.3,2.3,2.7,86,6.7,2.6,F
Trevor Ariza,11.7,2.5,6.9,36.8,1.1,1.3,85.4,4.4,1.6,F
Robert Covington,12.6,2.5,6.9,36.9,1.5,1.7,85.3,5.4,2,F
Allen Crabbe,13.2,2.7,7.1,37.8,1.5,1.8,85.2,4.3,1.6,F
Evan Turner,8.2,0.5,1.7,31.8,1.2,1.4,85,3.1,2.2,F
Gerald Green,12.1,2.7,7.3,36.9,1.2,1.5,85,3.2,0.6,F
Josh Richardson,12.9,1.6,4.1,37.8,1.5,1.8,84.5,3.5,2.9,F
Taurean Prince,14.1,2.1,5.6,38.5,1.9,2.2,84.4,4.7,2.6,F
Lauri Markkanen,15.2,2.1,5.9,36.2,2.1,2.4,84.3,7.5,1.2,F
LaMarcus Aldridge,23.1,0.4,1.2,29.3,4.5,5.3,83.7,8.5,2,F
James Ennis III,7.1,0.7,2.1,33.3,1.3,1.6,83.6,3.1,1,F
CJ Miles,10,2.3,6.5,36.1,1.2,1.4,83.5,2.2,0.8,F
Nicolas Batum,11.6,1.4,4.3,33.6,1.7,2,83.1,4.8,5.5,F
Marvin Williams,9.5,1.6,3.9,41.3,1.3,1.6,82.9,4.7,1.2,F
Tobias Harris,18.6,2.3,5.6,41.1,2.2,2.7,82.9,5.5,2.4,F
Otto Porter Jr.,14.7,1.8,4.1,44.1,1.4,1.7,82.8,6.4,2,F
Anthony Davis,28.1,0.7,2.2,34,6.6,8,82.8,11.1,2.3,F
Harrison Barnes,18.9,1.5,4.3,35.7,3.4,4.1,82.7,6.1,2,F
Joe Harris,10.8,1.9,4.6,41.9,1.1,1.3,82.7,3.3,1.6,F
Jayson Tatum,13.9,1.3,3,43.4,2.7,3.2,82.6,5,1.6,F
Justin Holiday,12.2,2.2,6.2,35.9,1.9,2.3,82.3,4,2.1,F
Paul George,21.9,3.1,7.7,40.1,4.3,5.2,82.2,5.7,3.3,F
Wesley Matthews,12.7,2.4,6.4,38.1,1.3,1.6,82.2,3.1,2.7,F
Markieff Morris,11.5,1,2.8,36.7,1.4,1.8,82,5.6,1.9,F
Kelly Oubre Jr.,11.8,1.6,4.6,34.1,2.4,2.9,82,4.5,1.2,F
Mario Hezonja,9.6,1.2,3.6,33.7,1.1,1.4,81.9,3.7,1.4,F
Jae Crowder,9.7,1.4,4.3,32.3,1.5,1.9,81.8,3.4,1.2,F
Nikola Mirotic,15.6,2.5,6.5,37.7,2,2.5,81.8,7.4,1.5,F
Tim Hardaway Jr.,17.5,2.3,7.2,31.7,2.6,3.1,81.6,3.9,2.7,F
Thabo Sefolosha,8.2,0.8,2.2,38.1,1.2,1.4,81.5,4.2,0.9,F
Danuel House Jr.,6.6,0.7,2.5,25.9,1.1,1.3,80.6,3.3,1.1,F
Will Barton,15.7,1.9,5.2,37,2.2,2.8,80.5,5,4.1,F
Marcus Morris Sr.,13.6,1.6,4.3,36.8,2.3,2.9,80.5,5.4,1.3,F
Skal Labissiere,8.7,0.3,0.9,35.3,1.6,2,80.5,4.8,1.2,F
Royce O'Neale,5,0.6,1.7,35.6,0.9,1.1,80.3,3.4,1.4,F
Frank Kaminsky,11.1,1.3,3.5,38,2,2.5,79.9,3.6,1.6,F
Anthony Tolliver,8.9,2,4.6,43.6,1.3,1.7,79.7,3.1,1.1,F
Serge Ibaka,12.6,1.4,3.9,36,1.2,1.6,79.7,6.3,0.8,F
Joe Ingles,11.5,2.5,5.7,44,0.8,1,79.5,4.2,4.8,F
Timothe Luwawu-Cabarrot,5.8,1,3,33.5,0.9,1.1,79.3,1.4,1,F
Kristaps Porzingis,22.7,1.9,4.8,39.5,4.5,5.7,79.3,6.6,1.2,F
Doug McDermott,7.8,1.1,2.7,42.6,0.8,1,79,2.5,1,F
Rondae Hollis-Jefferson,13.9,0.2,0.8,24.1,3.7,4.6,78.8,6.8,2.5,F
Zach Randolph,14.5,0.9,2.5,34.7,1.4,1.8,78.5,6.7,2.2,F
Blake Griffin,21.4,1.9,5.6,34.5,4.5,5.7,78.5,7.4,5.8,F
Tyreke Evans,19.4,2.2,5.5,39.9,3.2,4,78.5,5.1,5.2,F
Al Horford,12.9,1.3,3.1,42.9,1.3,1.7,78.3,7.4,4.7,F
Tomas Satoransky,7.2,0.6,1.4,46.5,1,1.3,78.1,3.2,3.9,F
Michael Beasley,13.2,0.5,1.2,39.5,1.7,2.1,78,5.6,1.7,F
Ersan Ilyasova,10.9,1.3,3.7,36,1.5,2,77.8,5.9,1.3,F
Draymond Green,11,1.1,3.7,30.1,1.9,2.5,77.5,7.6,7.3,F
Ryan Anderson,9.3,2,5.1,38.6,1.1,1.4,77.4,5,0.9,F
Rudy Gay,11.5,0.6,2.1,31.4,2,2.5,77.2,5.1,1.3,F
Stanley Johnson,8.7,1,3.4,28.6,1.6,2.1,77.2,3.7,1.6,F
Wilson Chandler,10,1.2,3.3,35.8,1.2,1.5,77.2,5.4,2.1,F
Kelly Olynyk,11.5,1.4,3.7,37.9,1.8,2.3,77,5.7,2.7,F
Bobby Portis,13.2,1.1,3.1,35.9,1.6,2.1,76.9,6.8,1.7,F
Garrett Temple,8.4,1.4,3.5,39.2,0.9,1.2,76.9,2.3,1.9,F
Jonathon Simmons,13.9,1,3,33.8,2.7,3.5,76.8,3.5,2.5,F
Jarell Martin,7.7,0.5,1.3,34.7,1.2,1.6,76.7,4.4,1,F
Carmelo Anthony,16.2,2.2,6.1,35.7,1.9,2.5,76.7,5.8,1.3,F
DeMarre Carroll,13.5,2,5.4,37.1,2.6,3.4,76.4,6.6,2,F
Giannis Antetokounmpo,26.9,0.6,1.9,30.7,6.5,8.5,76,10,4.8,F
T.J. Warren,19.6,0.3,1.4,22.2,3,3.9,75.7,5.1,1.3,F
Daniel Theis,5.3,0.3,0.9,31,1,1.3,75.3,4.3,0.9,F
Domantas Sabonis,11.6,0.2,0.5,35.1,2.3,3,75,7.7,2,F
Terrence Ross,8.7,1.3,3.9,32.3,1.1,1.5,75,3,1.6,F
Dillon Brooks,11,1.1,3.2,35.6,1.5,2,74.7,3.1,1.6,F
Wayne Selden,9.3,1.4,3.5,40.2,1.3,1.7,74.6,1.6,1.9,F
Jabari Parker,12.6,1,2.6,38.3,1.3,1.7,74.1,4.9,1.9,F
Al-Farouq Aminu,9.3,1.8,4.9,36.9,0.9,1.2,73.8,7.6,1.2,F
Justin Anderson,6.2,0.9,2.7,33,0.7,1,73.7,2.4,0.7,F
LeBron James,27.5,1.8,5,36.7,4.7,6.5,73.1,8.6,9.1,F
Marreese Speights,7.7,1.7,4.5,36.9,0.8,1.1,72.7,2.6,0.8,F
Corey Brewer,5.3,0.4,1.5,28.2,0.9,1.3,72.2,2.1,0.9,F
JaMychal Green,10.3,0.8,2.3,33.9,1.5,2,72.1,8.4,1.4,F
Dwight Powell,8.5,0.4,1.1,33.3,1.7,2.3,71.9,5.6,1.2,F
Julius Randle,16.1,0.1,0.5,22.2,3.7,5.2,71.8,8,2.6,F
John Collins,10.5,0.2,0.6,34,1.8,2.5,71.5,7.3,1.3,F
Kyle Anderson,7.9,0.3,0.8,33.3,1.4,2,71.2,5.4,2.7,F
Maurice Harkless,6.5,0.8,2,41.5,0.7,1,71.2,2.7,0.9,F
Caris LeVert,12.1,1.2,3.5,34.7,1.9,2.6,71.1,3.7,4.2,F
Trevor Booker,6.3,0.1,0.5,24.2,1,1.4,71,4.7,1.2,F
Kyle Kuzma,16.1,2.1,5.6,36.6,1.9,2.7,70.7,6.3,1.8,F
Trey Lyles,9.9,1.1,3,38.1,1.4,2,70.6,4.8,1.2,F
Thon Maker,4.8,0.4,1.4,29.8,0.9,1.3,69.9,3,0.6,F
Aaron Gordon,17.6,2,5.9,33.6,2.7,3.9,69.8,7.9,2.3,F
James Johnson,10.8,0.8,2.5,30.8,1.5,2.2,69.8,4.9,3.8,F
Paul Millsap,14.6,1,3,34.5,2.9,4.2,69.6,6.4,2.8,F
Luc Mbah a Moute,7.5,1,2.8,36.4,1.1,1.6,68.4,3,0.9,F
Brandon Ingram,16.1,0.7,1.8,39,3.3,4.8,68.1,5.3,3.9,F
Jerami Grant,8.4,0.4,1.4,29.1,2,3,67.5,3.9,0.7,F
Derrick Jones Jr.,3.1,0.2,0.9,16.7,0.8,1.2,66.7,1.9,0.5,F
Troy Williams,6.3,0.5,1.8,28.9,1,1.4,66.7,3,0.8,F
Richaun Holmes,6.5,0.1,0.6,12.9,0.8,1.2,66.1,4.4,1.3,F
Mike Scott,8.8,0.9,2.1,40.5,0.7,1,65.8,3.3,1.1,F
David Nwaba,7.9,0.3,0.7,34.6,1.9,2.9,65.5,4.7,1.5,F
Derrick Favors,12.3,0.2,0.8,22.2,1.8,2.8,65.1,7.2,1.3,F
Jaylen Brown,14.5,1.7,4.4,39.5,2.1,3.3,64.4,4.9,1.6,F
Andrew Wiggins,17.7,1.4,4.1,33.1,2.5,3.8,64.3,4.4,2,F
Justise Winslow,7.8,0.7,1.9,38,1,1.5,63.5,5.4,2.2,F
Josh Jackson,13.1,0.7,2.8,26.3,2.3,3.6,63.4,4.6,1.5,F
Andre Iguodala,6,0.5,1.8,28.2,0.9,1.4,63.2,3.8,3.3,F
Noah Vonleh,4.9,0.4,1.2,30.3,0.7,1.1,62.1,5.8,0.6,F
Pascal Siakam,7.3,0.4,1.6,22,0.7,1.1,62.1,4.5,2,F
Marquese Chriss,7.7,0.8,2.6,29.5,1.3,2.2,60.8,5.5,1.2,F
Thaddeus Young,11.8,0.7,2.2,32,0.7,1.1,59.8,6.3,1.9,F
DeAndre' Bembry,5.2,0.4,1.2,36.7,0.7,1.3,57.6,2.8,1.9,F
Tony Allen,4.7,0.2,0.5,33.3,0.5,1,52.4,2.1,0.4,F
Mike Muscala,7.6,1.2,3.2,37.1,1.1,1.2,91.9,4.3,1,C
Dirk Nowitzki,12,1.8,4.4,40.9,1.3,1.4,89.8,5.7,1.6,C
Kevin Love,17.6,2.3,5.6,41.5,4,4.5,88,9.3,1.7,C
Karl-Anthony Towns,21.3,1.5,3.5,42.1,4.2,4.9,85.8,12.3,2.4,C
Nikola Jokic,18.5,1.5,3.7,39.6,3.5,4.2,85,10.7,6.1,C
Marc Gasol,17.2,1.5,4.4,34.1,3.8,4.6,83.4,8.1,4.2,C
Anthony Davis,28.1,0.7,2.2,34,6.6,8,82.8,11.1,2.3,C
Nikola Vucevic,16.5,1.1,3.6,31.4,1.4,1.6,81.9,9.2,3.4,C
Jonas Valanciunas,12.7,0.4,1,40.5,2.2,2.7,80.6,8.6,1.1,C
Skal Labissiere,8.7,0.3,0.9,35.3,1.6,2,80.5,4.8,1.2,C
Frank Kaminsky,11.1,1.3,3.5,38,2,2.5,79.9,3.6,1.6,C
Serge Ibaka,12.6,1.4,3.9,36,1.2,1.6,79.7,6.3,0.8,C
Kristaps Porzingis,22.7,1.9,4.8,39.5,4.5,5.7,79.3,6.6,1.2,C
Al Horford,12.9,1.3,3.1,42.9,1.3,1.7,78.3,7.4,4.7,C
Dewayne Dedmon,10,0.8,2.3,35.5,1.1,1.4,77.9,7.9,1.5,C
Myles Turner,12.7,0.9,2.4,35.7,2.5,3.2,77.7,6.4,1.3,C
Gorgui Dieng,5.9,0.2,0.8,31.1,1,1.3,77.5,4.6,0.9,C
Kelly Olynyk,11.5,1.4,3.7,37.9,1.8,2.3,77,5.7,2.7,C
Joel Embiid,22.9,1,3.4,30.8,5.7,7.4,76.9,11,3.2,C
Timofey Mozgov,4.2,0.1,0.6,22.2,0.7,1,76.7,3.2,0.4,C
Pau Gasol,10.1,0.6,1.6,35.8,2.1,2.7,75.6,8,3.1,C
Daniel Theis,5.3,0.3,0.9,31,1,1.3,75.3,4.3,0.9,C
Domantas Sabonis,11.6,0.2,0.5,35.1,2.3,3,75,7.7,2,C
DeMarcus Cousins,25.2,2.2,6.1,35.4,6.1,8.2,74.6,12.9,5.4,C
Marreese Speights,7.7,1.7,4.5,36.9,0.8,1.1,72.7,2.6,0.8,C
Dwight Powell,8.5,0.4,1.1,33.3,1.7,2.3,71.9,5.6,1.2,C
Julius Randle,16.1,0.1,0.5,22.2,3.7,5.2,71.8,8,2.6,C
John Collins,10.5,0.2,0.6,34,1.8,2.5,71.5,7.3,1.3,C
Brook Lopez,13,1.5,4.4,34.5,1.5,2.1,70.3,4,1.7,C
Thon Maker,4.8,0.4,1.4,29.8,0.9,1.3,69.9,3,0.6,C
Richaun Holmes,6.5,0.1,0.6,12.9,0.8,1.2,66.1,4.4,1.3,C
Derrick Favors,12.3,0.2,0.8,22.2,1.8,2.8,65.1,7.2,1.3,C
