PLAYER,PTS,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,POS
Stephen Curry,26.4,4.2,9.8,42.3,5.5,5.9,92.1,5.1,6.1,G
Courtney Lee,12,1.5,3.7,40.6,1.5,1.6,91.9,2.9,2.4,G
Chris Paul,18.6,2.5,6.5,38,3.5,3.8,91.9,5.4,7.9,G
Damian Lillard,26.9,3.1,8.6,36.1,6.8,7.4,91.6,4.5,6.6,G
Marco Belinelli,12.1,1.9,4.9,37.7,1.9,2,90.8,1.9,1.9,G
Jamal Murray,16.7,2,5.4,37.8,2.8,3.1,90.5,3.7,3.4,G
JJ Redick,17.1,2.8,6.6,42,2.8,3.1,90.4,2.5,3,G
Jamal Crawford,10.3,1.3,3.9,33.1,1.3,1.4,90.3,1.2,2.3,G
Isaiah Canaan,8.6,1.1,3.3,33.3,2.3,2.6,90.2,2.3,3.8,G
Isaiah Thomas,15.2,1.7,5.9,29.3,3.7,4.1,89.3,2.1,4.8,G
Patty Mills,10,1.9,5,37.2,1.3,1.4,89,1.9,2.8,G
Kyle Korver,9.2,2.2,5.2,43.6,0.9,1,88.9,2.3,1.2,G
Kyrie Irving,24.4,2.8,6.8,40.8,3.9,4.4,88.9,3.8,5.1,G
Sean Kilpatrick,6.3,0.9,2.8,31.9,1.2,1.4,88.9,1.7,0.9,G
Malcolm Brogdon,13,1.3,3.4,38.5,1.6,1.8,88.2,3.3,3.2,G
Darren Collison,12.4,1.4,3,46.8,1.8,2.1,88.2,2.6,5.3,G
Lou Williams,22.6,2.4,6.6,35.9,5.5,6.2,88,2.5,5.3,G
Devin Booker,24.9,2.7,7.1,38.3,5.4,6.1,87.8,4.5,4.7,G
Dwight Buycks,7.4,0.5,1.6,33.3,1.2,1.4,87.8,1.4,2,G
Buddy Hield,13.5,2.2,5.1,43.1,0.9,1,87.7,3.8,1.9,G
Tyus Jones,5.1,0.5,1.6,34.9,0.9,1,87.7,1.6,2.8,G
Derrick Rose,8.4,0.3,1.2,23.3,1.6,1.8,87,1.4,1.5,G
Bojan Bogdanovic,14.3,1.9,4.8,40.2,2.2,2.6,86.8,3.4,1.5,G
D.J. Augustin,10.2,1.5,3.6,41.9,2.2,2.5,86.8,2.1,3.8,G
Evan Fournier,17.8,2.2,5.9,37.9,2.6,3,86.7,3.2,2.9,G
Ricky Rubio,13.1,1.2,3.5,35.2,2.9,3.3,86.6,4.6,5.3,G
Kemba Walker,22.1,2.9,7.5,38.4,4.5,5.3,86.4,3.1,5.6,G
Jodie Meeks,6.3,0.9,2.7,34.3,1.3,1.5,86.3,1.6,0.9,G
Alec Burks,7.7,0.7,2.2,33.1,1.7,1.9,86.3,3,1,G
Jeremy Lamb,12.9,1.2,3.2,37,2.2,2.6,86.1,4.1,2.3,G
Rodney Hood,14.7,2.1,5.6,38.1,1.9,2.2,86,2.8,1.6,G
Wayne Ellington,11.2,2.9,7.5,39.2,0.9,1,85.9,2.8,1,G
James Harden,30.4,3.7,10,36.7,8.7,10.1,85.8,5.4,8.8,G
Luke Kennard,7.6,1.1,2.7,41.5,0.9,1,85.5,2.4,1.7,G
Mario Chalmers,7.7,0.8,2.9,27.7,1.8,2.1,85.5,2.4,3,G
Kyle Lowry,16.2,3.1,7.6,39.9,2.9,3.3,85.4,5.6,6.9,G
Jimmy Butler,22.2,1.2,3.4,35,6.2,7.2,85.4,5.3,4.9,G
Trevor Ariza,11.7,2.5,6.9,36.8,1.1,1.3,85.4,4.4,1.6,G
Allen Crabbe,13.2,2.7,7.1,37.8,1.5,1.8,85.2,4.3,1.6,G
Evan Turner,8.2,0.5,1.7,31.8,1.2,1.4,85,3.1,2.2,G
Gerald Green,12.1,2.7,7.3,36.9,1.2,1.5,85,3.2,0.6,G
Dennis Schroder,19.4,1.1,3.9,29,3.4,4,84.9,3.1,6.2,G
Milos Teodosic,9.5,2,5.2,37.9,0.9,1,84.8,2.8,4.6,G
Jeff Teague,14.2,1.2,3.3,36.8,2.9,3.4,84.5,3,7,G
Shabazz Napier,8.7,1.1,2.9,37.6,1.6,1.9,84.1,2.3,2,G
Bogdan Bogdanovic,11.8,1.7,4.2,39.2,1.3,1.5,84,2.9,3.3,G
Jarrett Jack,7.5,0.4,1.4,29.1,1,1.2,84,3.1,5.6,G
Manu Ginobili,8.9,1,3,33.3,1.7,2,84,2.2,2.5,G
Klay Thompson,20,3.1,7.1,44,1.1,1.3,83.7,3.8,2.5,G
CJ McCollum,21.4,2.3,5.9,39.7,2.6,3.1,83.6,4,3.4,G
Reggie Jackson,14.6,1.2,3.8,30.8,2.5,3,83.6,2.8,5.3,G
Devin Harris,8.4,1.1,3.2,34.8,2,2.4,83.5,1.8,2.1,G
CJ Miles,10,2.3,6.5,36.1,1.2,1.4,83.5,2.2,0.8,G
Fred VanVleet,8.6,1.4,3.4,41.4,1.1,1.3,83.2,2.4,3.2,G
Tyler Ulis,7.8,0.6,2.1,28.8,1.2,1.4,83.2,1.8,4.4,G
Nicolas Batum,11.6,1.4,4.3,33.6,1.7,2,83.1,4.8,5.5,G
Delon Wright,8,0.8,2.2,36.6,1.4,1.7,82.9,2.9,2.9,G
Ben McLemore,7.5,1,2.8,34.6,0.9,1.1,82.8,2.5,0.9,G
Gary Harris,17.5,2.3,5.9,39.6,2,2.4,82.7,2.6,2.9,G
Joe Harris,10.8,1.9,4.6,41.9,1.1,1.3,82.7,3.3,1.6,G
DeMar DeRozan,23,1.1,3.6,31,5.8,7,82.5,3.9,5.2,G
Justin Holiday,12.2,2.2,6.2,35.9,1.9,2.3,82.3,4,2.1,G
Wesley Matthews,12.7,2.4,6.4,38.1,1.3,1.6,82.2,3.1,2.7,G
Tyler Johnson,11.7,1.7,4.5,36.7,1.5,1.8,82.2,3.4,2.3,G
Michael Carter-Williams,4.6,0.3,1.1,23.7,1.4,1.7,82,2.7,2.2,G
Mario Hezonja,9.6,1.2,3.6,33.7,1.1,1.4,81.9,3.7,1.4,G
Frank Mason,7.9,0.6,1.7,36,1.8,2.2,81.7,2.5,2.8,G
Tim Hardaway Jr.,17.5,2.3,7.2,31.7,2.6,3.1,81.6,3.9,2.7,G
Spencer Dinwiddie,12.6,1.8,5.4,32.6,2.7,3.4,81.3,3.2,6.6,G
Zach LaVine,16.7,1.8,5.1,34.1,3.6,4.5,81.3,3.9,3,G
Eric Gordon,18,3.2,8.8,35.9,2.8,3.5,80.9,2.5,2.2,G
Danuel House Jr.,6.6,0.7,2.5,25.9,1.1,1.3,80.6,3.3,1.1,G
